genome_name,name,Lineage,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_001798165.1,Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_43_33,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,,SAMN04315483,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001798165.1,Scaffold,2.18627,42.5,,MGRL01,126,2083,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/798/165/GCA_001798165.1_ASM179816v1,
GCA_003566645.1,Balneolia bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,T3Sed10_283R1,SAMN08574944,PRJNA434545,soda lake metagenome,NA,Freshwater,GCA_003566645.1,Contig,3.29486,42.5,,PXCJ01,398,0,2018-09-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/566/645/GCA_003566645.1_ASM356664v1,
GCA_003245695.1,Bacteroidetes bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,SZUA-422,SAMN09287970,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003245695.1,Contig,3.5869,42.5,,QKCK01,363,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/245/695/GCA_003245695.1_ASM324569v1,
GCA_004766055.1,Desulfosporosinus sp. Sb-LF,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,Sb-LF,SAMN11255652,PRJNA529085,Isolate sequencing,NA,Isolate,GCA_004766055.1,Contig,4.27217,42.5,,SPQR01,30,3743,2019-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/766/055/GCA_004766055.1_ASM476605v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/766/055/GCF_004766055.1_ASM476605v1
GCA_001803955.1,Nitrospirae bacterium RIFOXYB2_FULL_43_5,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,,SAMN04316169,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001803955.1,Scaffold,1.36949,42.6,,MHEX01,644,1020,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/803/955/GCA_001803955.1_ASM180395v1,
GCA_001797355.1,Deltaproteobacteria bacterium GWA2_43_19,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314110,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797355.1,Scaffold,2.18042,42.6,,MGPG01,107,2068,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/355/GCA_001797355.1_ASM179735v1,
GCA_900114835.1,Methanolobus profundi,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,Mob M,SAMN04488696,PRJEB17486,JGI Isolate sequencing,NA,Isolate,GCA_900114835.1,Scaffold,3.1072,42.6,,FOUJ01,18,2834,2016-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/114/835/GCA_900114835.1_IMG-taxon_2642422540_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/835/GCF_900114835.1_IMG-taxon_2642422540_annotated_assembly
GCA_900290375.1,Candidatus Desulfosporosinus infrequens,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,Peat soil MAG SbF1,SAMN07714398,PRJEB24926,Schloppnerbrunnen fens metagenome,Hausmann et al. 2020,Wetlands,GCA_900290375.1,Scaffold,5.32143,42.6,,OMOF01,971,4571,2018-03-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/290/375/GCA_900290375.1_SbF1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/290/375/GCF_900290375.1_SbF1
GCA_004526055.1,Bacteroidia bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,das_tool.concoct.24,SAMN11127054,PRJNA511814,bothnian sea metagenome,NA,Marine,GCA_004526055.1,Contig,2.15253,42.7,,SPBH01,633,1968,2019-03-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/526/055/GCA_004526055.1_ASM452605v1,
GCA_002789935.1,Deltaproteobacteria bacterium CG_4_9_14_3_um_filter_44_9,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,CG_4_9_14_3_um_filter_44_9,SAMN06660055,PRJNA362739,aquifer metagenome,Probst et al. 2029,Subsurface,GCA_002789935.1,Scaffold,2.42648,42.8,,PFUE01,337,2424,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/789/935/GCA_002789935.1_ASM278993v1,
GCA_002840505.1,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-2,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,HGW-Deltaproteobacteria-2,SAMN06767648,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002840505.1,Scaffold,3.28292,42.8,,PHBC01,11,2958,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/840/505/GCA_002840505.1_ASM284050v1,
GCA_003153795.1,Ignavibacteriae bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Chlorobi,Chlorobi,fen_1292,SAMN08179795,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003153795.1,Scaffold,3.64502,42.8,,PMBK01,73,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/153/795/GCA_003153795.1_20120700_E3M,
GCA_000732885.1,Desulfobacula sp. TS,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,TS,SAMN02692668,PRJNA175250,Isolate sequencing,NA,Isolate,GCA_000732885.1,Scaffold,5.37184,42.8,,JIBV01,125,0,2014-07-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/885/GCA_000732885.1_ASM73288v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/885/GCF_000732885.1_ASM73288v1
GCA_000802135.1,Desulfosporosinus sp. BICA1-9,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,BICA1-9,SAMN02953445,PRJNA257561,"rock porewater metagenome, deep Subsurface",NA,Subsurface,GCA_000802135.1,Contig,6.98715,42.8,,JUEE01,266,5942,2014-12-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/802/135/GCA_000802135.1_ASM80213v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/802/135/GCF_000802135.1_ASM80213v1
GCA_001805295.1,Nitrospirae bacterium RIFOXYC2_FULL_44_7,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,,SAMN04314605,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001805295.1,Scaffold,1.67639,42.9,,MHEY01,457,1259,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/805/295/GCA_001805295.1_ASM180529v1,
GCA_003155495.1,Ignavibacteriae bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Chlorobi,Chlorobi,fen_1287,SAMN08179751,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003155495.1,Scaffold,3.58587,42.9,,PMDB01,119,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/155/495/GCA_003155495.1_20120700_E2X,
GCA_003554725.1,Syntrophomonadaceae bacterium,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,T1Sed10_137m,SAMN08575079,PRJNA434545,soda lake metagenome,NA,Freshwater,GCA_003554725.1,Contig,3.59638,42.9,,PWHC01,726,0,2018-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/554/725/GCA_003554725.1_ASM355472v1,
GCA_001618385.1,Paludibacter jiangxiensis,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidetes,NM7,SAMD00049477,PRJDB4691,Isolate sequencing,Qui et al. 2014,Isolate,GCA_001618385.1,Contig,3.66488,42.9,,BDCR01,4,2879,2016-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/385/GCA_001618385.1_ASM161838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/385/GCF_001618385.1_ASM161838v1
GCA_000235605.1,Desulfosporosinus orientis DSM 765,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,DSM 765,SAMN02261424,PRJNA66191,JGI Isolate sequencing,Pester et al. 2012,Isolate,GCA_000235605.1,Complete,5.86308,42.9,chromosome:NC_016584.1/CP003108.1,,1,5229,2011-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/605/GCA_000235605.1_ASM23560v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/605/GCF_000235605.1_ASM23560v1
GCA_002419605.1,Smithella sp. UBA5724,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,UBA5724,SAMN06452027,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002419605.1,Scaffold,2.32762,43,,DIGK01,297,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/419/605/GCA_002419605.1_ASM241960v1,
GCA_001873905.1,Deltaproteobacteria bacterium CG2_30_43_15,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,CG2_30_43_15,SAMN04328279,PRJNA297582,groundwater metagenome/Subsurface,Probst et al. 2017,Subsurface,GCA_001873905.1,Scaffold,2.57435,43,,MNYF01,264,2421,2016-11-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/873/905/GCA_001873905.1_ASM187390v1,
GCA_002421695.1,Smithella sp. UBA6208,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,UBA6208,SAMN06455447,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002421695.1,Scaffold,2.67546,43,,DISO01,284,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/421/695/GCA_002421695.1_ASM242169v1,
GCA_002839545.1,Candidatus Methanoperedenaceae archaeon HGW-Methanoperedenaceae-1,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,HGW-Methanoperedenaceae-1,SAMN06767741,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002839545.1,Scaffold,1.99526,43.1,,PGYG01,128,2122,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/545/GCA_002839545.1_ASM283954v1,
GCA_002479215.1,Syntrophaceae bacterium UBA7544,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,UBA7544,SAMN06455316,PRJNA348753,Parks 2017 UBA reassembly,SPRUCE microbial community Metagenome,Sediment,GCA_002479215.1,Scaffold,2.98267,43.1,,DLME01,305,0,2017-10-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/479/215/GCA_002479215.1_ASM247921v1,
GCA_003140615.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1171,SAMN08180183,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003140615.1,Scaffold,3.18168,43.1,,PLKK01,301,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/140/615/GCA_003140615.1_20120800_S1D,
GCA_003138315.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1111,SAMN08179234,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003138315.1,Scaffold,3.25405,43.1,,PLFM01,291,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/138/315/GCA_003138315.1_20110800_S3M,
GCA_003165055.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1156,SAMN08179979,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003165055.1,Scaffold,3.41585,43.1,,PLSF01,211,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/165/055/GCA_003165055.1_20120700_S1D,
GCA_003173355.1,Methanospirillum lacunae,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,Ki8-1,SAMN09236929,PRJNA472466,Isolate sequencing,NA,Isolate,GCA_003173355.1,Contig,3.7437,43.1,,QGMY01,25,3365,2018-05-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/173/355/GCA_003173355.1_ASM317335v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/173/355/GCF_003173355.1_ASM317335v1
GCA_001797845.1,Deltaproteobacteria bacterium RBG_16_44_11,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313748,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797845.1,Scaffold,2.43062,43.2,,MGQN01,47,2137,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/845/GCA_001797845.1_ASM179784v1,
GCA_002329645.1,Lachnoclostridium sp. UBA1434,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA1434,SAMN06453857,PRJNA348753,Parks 2017 UBA reassembly,Metagenomic study of the microbial genes abundance in treated palm oil mill effluent,Engineered,GCA_002329645.1,Scaffold,2.90713,43.2,,DCTS01,115,0,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/329/645/GCA_002329645.1_ASM232964v1,
GCA_002452365.1,Smithella sp. UBA6798,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,UBA6798,SAMN06454976,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002452365.1,Scaffold,3.04771,43.2,,DKFK01,271,0,2017-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/452/365/GCA_002452365.1_ASM245236v1,
GCA_003168735.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1091,SAMN08178864,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003168735.1,Scaffold,3.16087,43.2,,PMRL01,346,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/168/735/GCA_003168735.1_20110600_S3M,
GCA_003138835.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1108,SAMN08179188,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003138835.1,Scaffold,3.41391,43.2,,PLHE01,191,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/138/835/GCA_003138835.1_20110800_S2D,
GCA_003139775.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1110,SAMN08179212,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003139775.1,Scaffold,3.41603,43.2,,PLGI01,206,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/139/775/GCA_003139775.1_20110800_S3D,
GCA_003159865.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1157,SAMN08180046,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003159865.1,Scaffold,2.64649,43.3,,PLPQ01,386,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/159/865/GCA_003159865.1_20120700_S3D,
GCA_002779785.1,Deltaproteobacteria bacterium CG06_land_8_20_14_3_00_44_19,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,CG06_land_8_20_14_3_00_44_19,SAMN06659216,PRJNA362739,aquifer metagenome,Probst et al. 2037,Subsurface,GCA_002779785.1,Scaffold,2.71084,43.3,,PEVP01,260,2700,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/779/785/GCA_002779785.1_ASM277978v1,
GCA_002382135.1,Smithella sp. UBA4047,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,UBA4047,SAMN06457342,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002382135.1,Scaffold,2.75157,43.3,,DFZV01,118,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/382/135/GCA_002382135.1_ASM238213v1,
GCA_002312915.1,Syntrophaceae bacterium UBA1164,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,UBA1164,SAMN06452726,PRJNA348753,Parks 2017 UBA reassembly,SPRUCE microbial community Metagenome,Sediment,GCA_002312915.1,Scaffold,2.84018,43.3,,DBZI01,240,0,2017-09-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/312/915/GCA_002312915.1_ASM231291v1,
GCA_003169075.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1090,SAMN08178839,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003169075.1,Scaffold,3.14939,43.3,,PMQM01,350,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/169/075/GCA_003169075.1_20110600_S2D,
GCA_002413245.1,Desulfosporosinus sp. UBA5179,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA5179,SAMN06451877,PRJNA348753,Parks 2017 UBA reassembly,Canadian High Artic Metagenomes,Sediment,GCA_002413245.1,Scaffold,3.23888,43.3,,DHWP01,151,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/413/245/GCA_002413245.1_ASM241324v1,
GCA_003138675.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1109,SAMN08179199,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003138675.1,Scaffold,3.2491,43.3,,PLGU01,281,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/138/675/GCA_003138675.1_20110800_S2M,
GCA_003163755.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1172,SAMN08180203,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003163755.1,Scaffold,3.28454,43.3,,PLWG01,245,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/163/755/GCA_003163755.1_20120800_S1X,
GCA_003139105.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1107,SAMN08179168,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003139105.1,Scaffold,3.37996,43.3,,PLHY01,198,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/139/105/GCA_003139105.1_20110800_S1M,
GCA_002307275.1,Hungateiclostridiaceae bacterium UBA1305,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA1305,SAMN06451771,PRJNA348753,Parks 2017 UBA reassembly,Wetlands Surface Sediment Feb2011 Site L1 Cattail Project,Wetlands,GCA_002307275.1,Scaffold,3.80464,43.3,,DBTX01,95,0,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/307/275/GCA_002307275.1_ASM230727v1,
GCA_003142535.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,fen_1166,SAMN08180125,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142535.1,Scaffold,2.92832,43.4,,PLMQ01,70,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/535/GCA_003142535.1_20120800_E2X,
GCA_002413075.1,Desulfosporosinus sp. UBA5188,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA5188,SAMN06453572,PRJNA348753,Parks 2017 UBA reassembly,Canadian High Artic Metagenomes,Sediment,GCA_002413075.1,Scaffold,3.04253,43.4,,DHWG01,212,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/413/075/GCA_002413075.1_ASM241307v1,
GCA_002868985.1,Desulfobacteraceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,BM005,SAMN07982681,PRJNA387015,bioreactor metagenome,NA,Engineered,GCA_002868985.1,Scaffold,3.0483,43.4,,PKTV01,577,2960,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/868/985/GCA_002868985.1_ASM286898v1,
GCA_003157475.1,Ignavibacteriae bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Chlorobi,Chlorobi,fen_1278,SAMN08179576,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003157475.1,Scaffold,2.70169,43.5,,PMJP01,404,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/475/GCA_003157475.1_20120600_E2D,
GCA_003165815.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,bog_1094,SAMN08179009,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003165815.1,Scaffold,2.75722,43.5,,PMWX01,390,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/165/815/GCA_003165815.1_20110700_S3M,
GCA_003142575.1,Ignavibacteriae bacterium,Bacteria;FCB group;Bacteroidetes/Chlorobi group,Chlorobi,Chlorobi,fen_1299,SAMN08180123,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142575.1,Scaffold,3.28498,43.5,,PLMS01,152,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/575/GCA_003142575.1_20120800_E2X,
GCA_001803945.1,Nitrospirae bacterium RIFOXYA2_FULL_44_9,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,,SAMN04314343,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001803945.1,Scaffold,1.93318,43.6,,MHEW01,53,1885,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/803/945/GCA_001803945.1_ASM180394v1,
GCA_002841405.1,Firmicutes bacterium HGW-Firmicutes-4,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,HGW-Firmicutes-4,SAMN06767704,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002841405.1,Scaffold,3.73222,43.6,,PGZR01,225,3372,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/405/GCA_002841405.1_ASM284140v1,
GCA_001936615.1,Desulfosporosinus sp. OL,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,OL,SAMN05892169,PRJNA338386,Isolate sequencing,NA,Isolate,GCA_001936615.1,Contig,5.29288,43.6,,MLBF01,271,4854,2017-01-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/936/615/GCA_001936615.1_ASM193661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/936/615/GCF_001936615.1_ASM193661v1
GCA_001805105.1,Nitrospirae bacterium GWF2_44_13,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,,SAMN04313875,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001805105.1,Scaffold,1.98604,43.7,,MHEE01,18,1976,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/805/105/GCA_001805105.1_ASM180510v1,
GCA_001577565.1,Methanolobus sp. T82-4,Archaea;Euryarchaeota;Stenosarchaea group,Euryarchaeota,Euryarchaeota,T82-4,SAMN04432770,PRJNA308326,gas well metagenome,NA,Engineered,GCA_001577565.1,Contig,2.65404,43.7,,LSRV01,145,2692,2016-02-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/577/565/GCA_001577565.1_ASM157756v1,
GCA_003142875.1,Syntrophaceae bacterium,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,fen_1159,SAMN08180094,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142875.1,Scaffold,2.87748,43.7,,PLNV01,119,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/875/GCA_003142875.1_20120800_E1D,
GCA_002410865.1,Syntrophomonas sp. UBA5380,Bacteria;Terrabacteria group;Firmicutes,Firmicutes,Firmicutes,UBA5380,SAMN06457191,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002410865.1,Scaffold,2.95099,43.7,,DHOW01,208,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/410/865/GCA_002410865.1_ASM241086v1,
