user_genome	classification	fastani_reference	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	classification_method	note	other_related_references(genome_id,species_name,ANI,AF)
bacteria13742	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA3086;g__UBA3086;s__GCA_002367305.1	GCA_002367305.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA3086;g__UBA3086;s__	100.0	0.99	GCA_002367305.1	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA3086;g__UBA3086;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria01616	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__GCF_000175115.2	GCF_000175115.2	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	100.0	1.0	GCF_000175115.2	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16593	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__GCA_002304995.1	GCA_002304995.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	98.96	0.88	GCA_002304995.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__	98.96	0.88	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria06288	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__GCA_001768155.1	GCA_001768155.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__	100.0	0.99	GCA_001768155.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-33-38;g__GWA2-31-9;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria11969	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp1	GCA_002781345.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp1	99.63	0.85	GCA_002781345.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp1	99.63	0.85	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria01699	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus propionicus	GCA_000186885.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus propionicus	100.0	1.0	GCA_000186885.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus propionicus	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14344	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Tol-SR;s__GCA_000769715.1	GCA_000769715.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Tol-SR;s__	99.86	0.94	GCA_000769715.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Tol-SR;s__	99.86	0.94	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07753	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	GCA_001797585.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	99.51	0.87	GCA_001797585.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	99.51	0.87	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15227	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__GCA_002402545.1	GCA_002402545.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	100.0	0.99	GCA_002402545.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria17162	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__GCA_002414225.1	GCA_002414225.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	99.93	0.96	GCA_002414225.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA5123;s__	99.93	0.96	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08032	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__GCA_001805105.1	GCA_001805105.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	99.96	0.99	GCA_001805105.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	99.96	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08033	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__GCA_001805105.1	GCA_001805105.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	99.65	0.98	GCA_001805105.1	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__	99.65	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria13733	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense	GCF_000300195.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense	97.92	0.88	GCF_000300195.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_J;s__Clostridium_J tunisiense	97.92	0.88	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15873	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__GCA_002382785.1	GCA_002382785.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	99.55	0.79	GCA_002382785.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	99.55	0.79	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08617	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_D;s__GCA_001825565.1	GCA_001825565.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_D;s__	100.0	0.99	GCA_001825565.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_D;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07320	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__GCA_001797525.1	GCA_001797525.1	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__	99.95	0.97	GCA_001797525.1	d__Bacteria;p__Fibrobacterota;c__OXYB2-FULL-49-7;o__OXYB2-FULL-49-7;f__XYB2-FULL-49-35;g__XYB2-FULL-49-35;s__	99.95	0.97	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08674	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWC1-27-15;s__GWC1-27-15 sp1	GCA_001829125.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWC1-27-15;s__GWC1-27-15 sp1	99.76	0.84	GCA_001829125.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWC1-27-15;s__GWC1-27-15 sp1	99.76	0.84	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16369	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__GCA_002428495.1	GCA_002428495.1	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	100.0	1.0	GCA_002428495.1	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria09073	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__Clostridium_B kluyveri_A	GCF_001902295.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__Clostridium_B kluyveri_A	100.0	1.0	GCF_001902295.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_B;s__Clostridium_B kluyveri_A	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15050	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__GCA_002398105.1	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.76	0.93	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.76	0.93	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15914	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__GCA_002381895.1	GCA_002381895.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__	99.27	0.87	GCA_002381895.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__	99.27	0.87	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria17128	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__GCA_002448235.1	GCA_002448235.1	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__	100.0	1.0	GCA_002448235.1	d__Bacteria;p__Desulfobacterota;c__Desulfomonilia;o__UBA1062;f__UBA1062;g__UBA1062;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria11342	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA8932;g__UBA1306;s__GCA_002307245.1	GCA_002307245.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA8932;g__UBA1306;s__	100.0	0.98	GCA_002307245.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA8932;g__UBA1306;s__	100.0	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria01199	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__GCF_000023645.1	GCF_000023645.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	100.0	1.0	GCF_000023645.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15452	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__GCA_002408185.1	GCA_002408185.1	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__	100.0	0.99	GCA_002408185.1	d__Bacteria;p__Desulfobacterota_B;c__Syntrophorhabdia;o__Syntrophorhabdales;f__Syntrophorhabdaceae;g__Delta-02;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07809	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__YD12-FULL-57-12;g__YD12-FULL-57-12;s__GCA_001799275.1	GCA_001799275.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__YD12-FULL-57-12;g__YD12-FULL-57-12;s__	100.0	0.99	GCA_001799275.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__YD12-FULL-57-12;g__YD12-FULL-57-12;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15465	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp1	GCA_002408445.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp1	100.0	0.99	GCA_002408445.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp1	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07716	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__GCA_001797415.1	GCA_001797415.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	100.0	0.99	GCA_001797415.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16132	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__GCA_002381185.1	GCA_002381185.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	99.29	0.92	GCA_002381185.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__	99.29	0.92	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15219	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__GCA_002327985.1	GCA_002327985.1	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	99.83	0.89	GCA_002327985.1	d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__	99.83	0.89	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07729	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	GCA_001797585.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	99.65	0.86	GCA_001797585.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp1	99.65	0.86	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria11135	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__GCA_002298925.1	GCA_002298925.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	100.0	0.99	GCA_002298925.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria01708	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio desulfuricans	GCF_000189295.2	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio desulfuricans	100.0	1.0	GCF_000189295.2	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio desulfuricans	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07820	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__UBA12091;s__UBA12091 sp1	GCA_001799535.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__UBA12091;s__UBA12091 sp1	99.64	0.83	GCA_001799535.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__UBA12091;s__UBA12091 sp1	99.64	0.83	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15803	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__GCA_002415855.1	GCA_002415855.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__	100.0	0.99	GCA_002415855.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA5072;g__UBA5072;s__	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria15651	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__GCA_002412825.1	GCA_002412825.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	100.0	1.0	GCA_002412825.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria17348	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6814;s__GCA_002452635.1	GCA_002452635.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6814;s__	100.0	0.98	GCA_002452635.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6814;s__	100.0	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria11886	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA1603;s__UBA1603 sp1	GCA_002322035.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA1603;s__UBA1603 sp1	100.0	0.99	GCA_002322035.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__UBA1603;s__UBA1603 sp1	100.0	0.99	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria12142	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1446;s__GCA_002329245.1	GCA_002329245.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1446;s__	100.0	0.98	GCA_002329245.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1446;s__	100.0	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria12878	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__GCA_002381895.1	GCA_002381895.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__	99.37	0.86	GCA_002381895.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__	99.37	0.86	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria14247	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp1	GCA_002400365.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp1	99.45	0.9	GCA_002400365.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp1	99.45	0.9	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07821	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__Pelobacter_C sp1	GCA_001799505.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__Pelobacter_C sp1	100.0	0.98	GCA_001799505.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__Pelobacter_C sp1	100.0	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16379	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6079;s__GCA_002428705.1	GCA_002428705.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6079;s__	100.0	1.0	GCA_002428705.1	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6079;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria11134	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__UBA699;s__GCA_002298915.1	GCA_002298915.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__UBA699;s__	100.0	1.0	GCA_002298915.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__UBA699;s__	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria03013	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter restrictus	GCF_000512895.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter restrictus	100.0	1.0	GCF_000512895.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Syntrophobotulaceae;g__Dehalobacter;s__Dehalobacter restrictus	100.0	1.0	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria11328	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ruminiclostridium_D;s__GCA_002306975.1	GCA_002306975.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ruminiclostridium_D;s__	100.0	0.98	GCA_002306975.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ruminiclostridium_D;s__	100.0	0.98	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria08678	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__GCA_001829335.1	GCA_001829335.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__	99.92	0.93	GCA_001829335.1	d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__GWE2-31-10;s__	99.92	0.93	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria07776	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__XYA12-FULL-58-9;s__XYA12-FULL-58-9 sp1	GCA_001798655.1	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__XYA12-FULL-58-9;s__XYA12-FULL-58-9 sp1	99.49	0.85	GCA_001798655.1	d__Bacteria;p__Myxococcota;c__XYA12-FULL-58-9;o__XYA12-FULL-58-9;f__XYA12-FULL-58-9;g__XYA12-FULL-58-9;s__XYA12-FULL-58-9 sp1	99.49	0.85	ANI/Placement	topological placement and ANI have congruent species assignments	
bacteria16150	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__GCA_002398105.1	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.63	0.88	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	99.63	0.88	ANI/Placement	topological placement and ANI have congruent species assignments	
