GCA_001766905.1	Acidobacteria bacterium RBG_13_68_16
GCA_001775175.1	Candidatus Curtissbacteria bacterium
GCA_001775235.1	Candidatus Curtissbacteria bacterium
GCA_001776575.1	Candidatus Curtissbacteria bacterium
GCA_001775245.1	Candidatus Dadabacteria bacterium
GCA_001775255.1	Candidatus Dadabacteria bacterium
GCA_001775285.1	Candidatus Daviesbacteria bacterium
GCA_001775325.1	Candidatus Daviesbacteria bacterium
GCA_001775315.1	Candidatus Daviesbacteria bacterium
GCA_001776585.1	Candidatus Daviesbacteria bacterium
GCA_001776605.1	Candidatus Daviesbacteria bacterium
GCA_001776635.1	Candidatus Daviesbacteria bacterium
GCA_001776655.1	Candidatus Daviesbacteria bacterium
GCA_001776945.1	Candidatus Daviesbacteria bacterium
GCA_001776975.1	Candidatus Daviesbacteria bacterium
GCA_001776675.1	Candidatus Daviesbacteria bacterium
GCA_001776985.1	Candidatus Daviesbacteria bacterium
GCA_001777015.1	Candidatus Daviesbacteria bacterium
GCA_001777025.1	Candidatus Daviesbacteria bacterium
GCA_001777055.1	Candidatus Daviesbacteria bacterium
GCA_001777065.1	Candidatus Daviesbacteria bacterium
GCA_001776685.1	Candidatus Daviesbacteria bacterium
GCA_001776705.1	Candidatus Daviesbacteria bacterium
GCA_001776735.1	Candidatus Daviesbacteria bacterium
GCA_001776755.1	Candidatus Daviesbacteria bacterium
GCA_001776775.1	Candidatus Daviesbacteria bacterium
GCA_001777095.1	Candidatus Daviesbacteria bacterium
GCA_001776785.1	Candidatus Daviesbacteria bacterium
GCA_001776815.1	Candidatus Daviesbacteria bacterium
GCA_001776835.1	Candidatus Daviesbacteria bacterium
GCA_001777105.1	Candidatus Daviesbacteria bacterium
GCA_001776855.1	Candidatus Daviesbacteria bacterium
GCA_001776865.1	Candidatus Daviesbacteria bacterium
GCA_001776895.1	Candidatus Daviesbacteria bacterium
GCA_001776905.1	Candidatus Daviesbacteria bacterium
GCA_001776935.1	Candidatus Daviesbacteria bacterium
GCA_001777345.1	Candidatus Daviesbacteria bacterium
GCA_001777335.1	Candidatus Daviesbacteria bacterium
GCA_001777375.1	Candidatus Daviesbacteria bacterium
GCA_001777395.1	Candidatus Daviesbacteria bacterium
GCA_001777465.1	Candidatus Daviesbacteria bacterium
GCA_001779745.1	Candidatus Daviesbacteria bacterium
GCA_001777415.1	Candidatus Daviesbacteria bacterium
GCA_001779735.1	Candidatus Daviesbacteria bacterium
GCA_001777435.1	Candidatus Daviesbacteria bacterium
GCA_001779775.1	Candidatus Daviesbacteria bacterium
GCA_001779755.1	Candidatus Daviesbacteria bacterium
GCA_001777455.1	Candidatus Daviesbacteria bacterium
GCA_001779815.1	Candidatus Daviesbacteria bacterium
GCA_001779835.1	Candidatus Daviesbacteria bacterium
GCA_001777495.1	Candidatus Daviesbacteria bacterium
GCA_001779875.1	Candidatus Delongbacteria bacterium
GCA_001777545.1	Candidatus Doudnabacteria bacterium
GCA_001777515.1	Candidatus Doudnabacteria bacterium
GCA_001779845.1	Candidatus Doudnabacteria bacterium
GCA_001779895.1	Candidatus Doudnabacteria bacterium
GCA_001777525.1	Candidatus Doudnabacteria bacterium
GCA_001779915.1	Candidatus Doudnabacteria bacterium
GCA_001779925.1	Candidatus Doudnabacteria bacterium
GCA_001777575.1	Candidatus Doudnabacteria bacterium
GCA_001777615.1	Candidatus Doudnabacteria bacterium
GCA_001779975.1	Candidatus Doudnabacteria bacterium
GCA_001777585.1	Candidatus Doudnabacteria bacterium
GCA_001777635.1	Candidatus Doudnabacteria bacterium
GCA_001777665.1	Candidatus Doudnabacteria bacterium
GCA_001777655.1	Candidatus Doudnabacteria bacterium
GCA_001779955.1	Candidatus Doudnabacteria bacterium
GCA_001777695.1	Candidatus Doudnabacteria bacterium
GCA_001777705.1	Candidatus Doudnabacteria bacterium
GCA_001779985.1	Candidatus Doudnabacteria bacterium
GCA_001777735.1	Candidatus Doudnabacteria bacterium
GCA_001779995.1	Candidatus Doudnabacteria bacterium
GCA_001780035.1	Candidatus Doudnabacteria bacterium
GCA_001777745.1	Candidatus Doudnabacteria bacterium
GCA_001780055.1	Candidatus Doudnabacteria bacterium
GCA_001777825.1	Candidatus Doudnabacteria bacterium
GCA_001780065.1	Candidatus Doudnabacteria bacterium
GCA_001780075.1	Candidatus Doudnabacteria bacterium
GCA_001777775.1	Candidatus Doudnabacteria bacterium
GCA_001780115.1	Candidatus Doudnabacteria bacterium
GCA_001777815.1	Candidatus Doudnabacteria bacterium
GCA_001777785.1	Candidatus Doudnabacteria bacterium
GCA_001780145.1	Candidatus Doudnabacteria bacterium
GCA_001777875.1	Candidatus Doudnabacteria bacterium
GCA_001777855.1	Candidatus Doudnabacteria bacterium
GCA_001777935.1	Candidatus Edwardsbacteria bacterium
GCA_001777895.1	Candidatus Edwardsbacteria bacterium
GCA_001777945.1	Candidatus Edwardsbacteria bacterium
GCA_001777915.1	Candidatus Edwardsbacteria bacterium
GCA_001781595.1	Candidatus Edwardsbacteria bacterium
GCA_001780135.1	Candidatus Edwardsbacteria bacterium
GCA_001780165.1	Candidatus Eisenbacteria bacterium
GCA_001777975.1	Candidatus Eisenbacteria bacterium
GCA_001780195.1	Candidatus Falkowbacteria bacterium
GCA_001780215.1	Candidatus Falkowbacteria bacterium
GCA_001778005.1	Candidatus Falkowbacteria bacterium
GCA_001777995.1	Candidatus Falkowbacteria bacterium
GCA_001778015.1	Candidatus Falkowbacteria bacterium
GCA_001780235.1	Candidatus Falkowbacteria bacterium
GCA_001778055.1	Candidatus Falkowbacteria bacterium
GCA_001778075.1	Candidatus Falkowbacteria bacterium
GCA_001778095.1	Candidatus Falkowbacteria bacterium
GCA_001780275.1	Candidatus Falkowbacteria bacterium
GCA_001778085.1	Candidatus Falkowbacteria bacterium
GCA_001778135.1	Candidatus Falkowbacteria bacterium
GCA_001778155.1	Candidatus Falkowbacteria bacterium
GCA_001778195.1	Candidatus Falkowbacteria bacterium
GCA_001778165.1	Candidatus Falkowbacteria bacterium
GCA_001780255.1	Candidatus Falkowbacteria bacterium
GCA_001778205.1	Candidatus Falkowbacteria bacterium
GCA_001778235.1	Candidatus Falkowbacteria bacterium
GCA_001778255.1	Candidatus Falkowbacteria bacterium
GCA_001778285.1	Candidatus Falkowbacteria bacterium
GCA_001778275.1	Candidatus Falkowbacteria bacterium
GCA_001780285.1	Candidatus Falkowbacteria bacterium
GCA_001778325.1	Candidatus Falkowbacteria bacterium
GCA_001780315.1	Candidatus Falkowbacteria bacterium
GCA_001780335.1	Candidatus Falkowbacteria bacterium
GCA_001778315.1	Candidatus Firestonebacteria bacterium
GCA_001778355.1	Candidatus Firestonebacteria bacterium
GCA_001780375.1	Candidatus Firestonebacteria bacterium
GCA_001778375.1	Candidatus Firestonebacteria bacterium
GCA_001780345.1	Candidatus Firestonebacteria bacterium
GCA_001780385.1	Candidatus Fischerbacteria bacterium
GCA_001800985.1	Candidatus Fluviicola riflensis
GCA_002243285.1	RIFCSPHIGHO2_02_FULL_43_260 Candidatus Fluviicola
GCA_001778455.1	Candidatus Fraserbacteria bacterium
GCA_001778395.1	Candidatus Giovannonibacteria bacterium
GCA_001778415.1	Candidatus Giovannonibacteria bacterium
GCA_001780415.1	Candidatus Giovannonibacteria bacterium
GCA_001778435.1	Candidatus Giovannonibacteria bacterium
GCA_001780425.1	Candidatus Giovannonibacteria bacterium
GCA_001778465.1	Candidatus Giovannonibacteria bacterium
GCA_001778495.1	Candidatus Giovannonibacteria bacterium
GCA_001780445.1	Candidatus Giovannonibacteria bacterium
GCA_001778535.1	Candidatus Giovannonibacteria bacterium
GCA_001778515.1	Candidatus Giovannonibacteria bacterium
GCA_001778555.1	Candidatus Giovannonibacteria bacterium
GCA_001778545.1	Candidatus Giovannonibacteria bacterium
GCA_001780475.1	Candidatus Giovannonibacteria bacterium
GCA_001778595.1	Candidatus Giovannonibacteria bacterium
GCA_001780495.1	Candidatus Giovannonibacteria bacterium
GCA_001778615.1	Candidatus Giovannonibacteria bacterium
GCA_001778635.1	Candidatus Giovannonibacteria bacterium
GCA_001778655.1	Candidatus Giovannonibacteria bacterium
GCA_001780515.1	Candidatus Giovannonibacteria bacterium
GCA_001778665.1	Candidatus Giovannonibacteria bacterium
GCA_001780535.1	Candidatus Giovannonibacteria bacterium
GCA_001780555.1	Candidatus Giovannonibacteria bacterium
GCA_001778695.1	Candidatus Giovannonibacteria bacterium
GCA_001778705.1	Candidatus Giovannonibacteria bacterium
GCA_001780565.1	Candidatus Giovannonibacteria bacterium
GCA_001780605.1	Candidatus Giovannonibacteria bacterium
GCA_001780595.1	Candidatus Giovannonibacteria bacterium
GCA_001780635.1	Candidatus Giovannonibacteria bacterium
GCA_001778735.1	Candidatus Giovannonibacteria bacterium
GCA_001780645.1	Candidatus Giovannonibacteria bacterium
GCA_001778755.1	Candidatus Giovannonibacteria bacterium
GCA_001780695.1	Candidatus Giovannonibacteria bacterium
GCA_001778785.1	Candidatus Giovannonibacteria bacterium
GCA_001780675.1	Candidatus Giovannonibacteria bacterium
GCA_001778775.1	Candidatus Giovannonibacteria bacterium
GCA_001778815.1	Candidatus Giovannonibacteria bacterium
GCA_001778855.1	Candidatus Giovannonibacteria bacterium
GCA_001778835.1	Candidatus Giovannonibacteria bacterium
GCA_001778875.1	Candidatus Giovannonibacteria bacterium
GCA_001780705.1	Candidatus Giovannonibacteria bacterium
GCA_001780725.1	Candidatus Giovannonibacteria bacterium
GCA_001780755.1	Candidatus Giovannonibacteria bacterium
GCA_001780775.1	Candidatus Giovannonibacteria bacterium
GCA_001778885.1	Candidatus Giovannonibacteria bacterium
GCA_001778905.1	Candidatus Giovannonibacteria bacterium
GCA_001778935.1	Candidatus Giovannonibacteria bacterium
GCA_001778955.1	Candidatus Giovannonibacteria bacterium
GCA_001778975.1	Candidatus Giovannonibacteria bacterium
GCA_001778985.1	Candidatus Giovannonibacteria bacterium
GCA_001780805.1	Candidatus Glassbacteria bacterium
GCA_001780795.1	Candidatus Glassbacteria bacterium
GCA_001780825.1	Candidatus Glassbacteria bacterium
GCA_001779015.1	Candidatus Gottesmanbacteria bacterium
GCA_001779035.1	Candidatus Gottesmanbacteria bacterium
GCA_001779055.1	Candidatus Gottesmanbacteria bacterium
GCA_001780855.1	Candidatus Gottesmanbacteria bacterium
GCA_001779065.1	Candidatus Gottesmanbacteria bacterium
GCA_001779095.1	Candidatus Gottesmanbacteria bacterium
GCA_001780865.1	Candidatus Gottesmanbacteria bacterium
GCA_001779115.1	Candidatus Gottesmanbacteria bacterium
GCA_001779145.1	Candidatus Gottesmanbacteria bacterium
GCA_001779135.1	Candidatus Gottesmanbacteria bacterium
GCA_001779175.1	Candidatus Gottesmanbacteria bacterium
GCA_001780895.1	Candidatus Gottesmanbacteria bacterium
GCA_001780905.1	Candidatus Gottesmanbacteria bacterium
GCA_001779195.1	Candidatus Gottesmanbacteria bacterium
GCA_001779205.1	Candidatus Gottesmanbacteria bacterium
GCA_001779235.1	Candidatus Gottesmanbacteria bacterium
GCA_001779255.1	Candidatus Gottesmanbacteria bacterium
GCA_001779275.1	Candidatus Gottesmanbacteria bacterium
GCA_001780935.1	Candidatus Gottesmanbacteria bacterium
GCA_001780955.1	Candidatus Gottesmanbacteria bacterium
GCA_001779265.1	Candidatus Gottesmanbacteria bacterium
GCA_001780975.1	Candidatus Gottesmanbacteria bacterium
GCA_001779315.1	Candidatus Gottesmanbacteria bacterium
GCA_001780985.1	Candidatus Gottesmanbacteria bacterium
GCA_001779345.1	Candidatus Gottesmanbacteria bacterium
GCA_001779335.1	Candidatus Gottesmanbacteria bacterium
GCA_001779375.1	Candidatus Gottesmanbacteria bacterium
GCA_001781025.1	Candidatus Gottesmanbacteria bacterium
GCA_001781015.1	Candidatus Gottesmanbacteria bacterium
GCA_001779385.1	Candidatus Gottesmanbacteria bacterium
GCA_001779415.1	Candidatus Gottesmanbacteria bacterium
GCA_001779425.1	Candidatus Gottesmanbacteria bacterium
GCA_001779455.1	Candidatus Gottesmanbacteria bacterium
GCA_001781055.1	Candidatus Handelsmanbacteria bacterium
GCA_001817875.1	Candidatus Harrisonbacteria bacterium
GCA_001818675.1	Candidatus Harrisonbacteria bacterium
GCA_001818695.1	Candidatus Harrisonbacteria bacterium
GCA_001817935.1	Candidatus Harrisonbacteria bacterium
GCA_001817925.1	Candidatus Harrisonbacteria bacterium
GCA_001817915.1	Candidatus Harrisonbacteria bacterium
GCA_001817975.1	Candidatus Harrisonbacteria bacterium
GCA_001817995.1	Candidatus Harrisonbacteria bacterium
GCA_001818705.1	Candidatus Harrisonbacteria bacterium
GCA_001818005.1	Candidatus Harrisonbacteria bacterium
GCA_001818015.1	Candidatus Harrisonbacteria bacterium
GCA_001818055.1	Candidatus Jacksonbacteria bacterium
GCA_001818075.1	Candidatus Jacksonbacteria bacterium
GCA_001818085.1	Candidatus Jacksonbacteria bacterium
GCA_001818105.1	Candidatus Jacksonbacteria bacterium
GCA_001818135.1	Candidatus Jacksonbacteria bacterium
GCA_001818155.1	Candidatus Jacksonbacteria bacterium
GCA_001818175.1	Candidatus Jacksonbacteria bacterium
GCA_001818185.1	Candidatus Jacksonbacteria bacterium
GCA_001818205.1	Candidatus Jacksonbacteria bacterium
GCA_001818235.1	Candidatus Jacksonbacteria bacterium
GCA_001818255.1	Candidatus Jacksonbacteria bacterium
GCA_001818275.1	Candidatus Jacksonbacteria bacterium
GCA_001779475.1	Candidatus Jorgensenbacteria bacterium
GCA_001779505.1	Candidatus Jorgensenbacteria bacterium
GCA_001779495.1	Candidatus Jorgensenbacteria bacterium
GCA_001779535.1	Candidatus Jorgensenbacteria bacterium
GCA_001781035.1	Candidatus Jorgensenbacteria bacterium
GCA_001779555.1	Candidatus Jorgensenbacteria bacterium
GCA_001779575.1	Candidatus Jorgensenbacteria bacterium
GCA_001779585.1	Candidatus Kaiserbacteria bacterium
GCA_001779595.1	Candidatus Kaiserbacteria bacterium
GCA_001779615.1	Candidatus Kaiserbacteria bacterium
GCA_001779675.1	Candidatus Kaiserbacteria bacterium
GCA_001779655.1	Candidatus Kaiserbacteria bacterium
GCA_001779665.1	Candidatus Kaiserbacteria bacterium
GCA_001781125.1	Candidatus Kaiserbacteria bacterium
GCA_001781095.1	Candidatus Kaiserbacteria bacterium
GCA_001781105.1	Candidatus Kaiserbacteria bacterium
GCA_001779685.1	Candidatus Kaiserbacteria bacterium
GCA_001781115.1	Candidatus Kaiserbacteria bacterium
GCA_001781175.1	Candidatus Kaiserbacteria bacterium
GCA_001781195.1	Candidatus Kaiserbacteria bacterium
GCA_001781475.1	Candidatus Kaiserbacteria bacterium
GCA_001781445.1	Candidatus Kaiserbacteria bacterium
GCA_001781215.1	Candidatus Kaiserbacteria bacterium
GCA_001781465.1	Candidatus Kaiserbacteria bacterium
GCA_001781205.1	Candidatus Kaiserbacteria bacterium
GCA_001781255.1	Candidatus Kaiserbacteria bacterium
GCA_001781525.1	Candidatus Kaiserbacteria bacterium
GCA_001781275.1	Candidatus Kaiserbacteria bacterium
GCA_001781285.1	Candidatus Kaiserbacteria bacterium
GCA_001781305.1	Candidatus Kaiserbacteria bacterium
GCA_001781515.1	Candidatus Kaiserbacteria bacterium
GCA_001781335.1	Candidatus Kaiserbacteria bacterium
GCA_001781365.1	Candidatus Kaiserbacteria bacterium
GCA_001781355.1	Candidatus Kaiserbacteria bacterium
GCA_001781375.1	Candidatus Kaiserbacteria bacterium
GCA_001781555.1	Candidatus Kaiserbacteria bacterium
GCA_001781565.1	Candidatus Kaiserbacteria bacterium
GCA_001781605.1	Candidatus Kaiserbacteria bacterium
GCA_001781625.1	Candidatus Kaiserbacteria bacterium
GCA_001781415.1	Candidatus Kaiserbacteria bacterium
GCA_001783335.1	Candidatus Kaiserbacteria bacterium
GCA_001781435.1	Candidatus Kaiserbacteria bacterium
GCA_001781635.1	Candidatus Kaiserbacteria bacterium
GCA_001781675.1	Candidatus Kaiserbacteria bacterium
GCA_001783385.1	Candidatus Kaiserbacteria bacterium
GCA_001781685.1	Candidatus Kaiserbacteria bacterium
GCA_001783355.1	Candidatus Kaiserbacteria bacterium
GCA_001781725.1	Candidatus Kaiserbacteria bacterium
GCA_001783375.1	Candidatus Kaiserbacteria bacterium
GCA_001781715.1	Candidatus Kaiserbacteria bacterium
GCA_001783415.1	Candidatus Kaiserbacteria bacterium
GCA_001783445.1	Candidatus Kaiserbacteria bacterium
GCA_001783435.1	Candidatus Kaiserbacteria bacterium
GCA_001783485.1	Candidatus Kaiserbacteria bacterium
GCA_001783465.1	Candidatus Kaiserbacteria bacterium
GCA_001781755.1	Candidatus Kaiserbacteria bacterium
GCA_001781765.1	Candidatus Kaiserbacteria bacterium
GCA_001781795.1	Candidatus Kaiserbacteria bacterium
GCA_001781805.1	Candidatus Kaiserbacteria bacterium
GCA_001783515.1	Candidatus Kaiserbacteria bacterium
GCA_001781845.1	Candidatus Kaiserbacteria bacterium
GCA_001781835.1	Candidatus Kaiserbacteria bacterium
GCA_001781875.1	Candidatus Kaiserbacteria bacterium
GCA_001781885.1	Candidatus Kaiserbacteria bacterium
GCA_001783525.1	Candidatus Kaiserbacteria bacterium
GCA_001783565.1	Candidatus Kaiserbacteria bacterium
GCA_001781915.1	Candidatus Kaiserbacteria bacterium
GCA_001818735.1	Candidatus Kerfeldbacteria bacterium
GCA_001818755.1	Candidatus Kerfeldbacteria bacterium
GCA_001818775.1	Candidatus Kerfeldbacteria bacterium
GCA_001818285.1	Candidatus Kerfeldbacteria bacterium
GCA_001818315.1	Candidatus Kerfeldbacteria bacterium
GCA_001818335.1	Candidatus Kerfeldbacteria bacterium
GCA_001818785.1	Candidatus Kerfeldbacteria bacterium
GCA_001818815.1	Candidatus Kerfeldbacteria bacterium
GCA_001818355.1	Candidatus Kerfeldbacteria bacterium
GCA_001818365.1	Candidatus Komeilibacteria bacterium
GCA_001818835.1	Candidatus Komeilibacteria bacterium
GCA_001818395.1	Candidatus Komeilibacteria bacterium
GCA_001818415.1	Candidatus Komeilibacteria bacterium
GCA_001818435.1	Candidatus Komeilibacteria bacterium
GCA_001818855.1	Candidatus Komeilibacteria bacterium
GCA_001818445.1	Candidatus Komeilibacteria bacterium
GCA_001818475.1	Candidatus Komeilibacteria bacterium
GCA_001818495.1	Candidatus Komeilibacteria bacterium
GCA_001818865.1	Candidatus Komeilibacteria bacterium
GCA_001783555.1	Candidatus Kuenenbacteria bacterium
GCA_001783595.1	Candidatus Kuenenbacteria bacterium
GCA_001783615.1	Candidatus Kuenenbacteria bacterium
GCA_001783635.1	Candidatus Kuenenbacteria bacterium
GCA_001781935.1	Candidatus Kuenenbacteria bacterium
GCA_001783645.1	Candidatus Kuenenbacteria bacterium
GCA_001783655.1	Candidatus Lambdaproteobacteria bacterium
GCA_001781965.1	Candidatus Lambdaproteobacteria bacterium
GCA_001781945.1	Candidatus Lambdaproteobacteria bacterium
GCA_001783695.1	Candidatus Lambdaproteobacteria bacterium
GCA_001783715.1	Candidatus Lambdaproteobacteria bacterium
GCA_001783735.1	Candidatus Levybacteria bacterium
GCA_001781995.1	Candidatus Levybacteria bacterium
GCA_001783725.1	Candidatus Levybacteria bacterium
GCA_001782015.1	Candidatus Levybacteria bacterium
GCA_001782045.1	Candidatus Levybacteria bacterium
GCA_001782035.1	Candidatus Levybacteria bacterium
GCA_001782085.1	Candidatus Levybacteria bacterium
GCA_001783775.1	Candidatus Levybacteria bacterium
GCA_001782075.1	Candidatus Levybacteria bacterium
GCA_001782115.1	Candidatus Levybacteria bacterium
GCA_001783795.1	Candidatus Levybacteria bacterium
GCA_001782125.1	Candidatus Levybacteria bacterium
GCA_001783805.1	Candidatus Levybacteria bacterium
GCA_001783815.1	Candidatus Levybacteria bacterium
GCA_001783845.1	Candidatus Levybacteria bacterium
GCA_001782165.1	Candidatus Levybacteria bacterium
GCA_001783875.1	Candidatus Levybacteria bacterium
GCA_001783885.1	Candidatus Levybacteria bacterium
GCA_001782155.1	Candidatus Levybacteria bacterium
GCA_001782195.1	Candidatus Levybacteria bacterium
GCA_001782205.1	Candidatus Levybacteria bacterium
GCA_001782255.1	Candidatus Levybacteria bacterium
GCA_001782235.1	Candidatus Levybacteria bacterium
GCA_001782265.1	Candidatus Levybacteria bacterium
GCA_001783905.1	Candidatus Levybacteria bacterium
GCA_001782295.1	Candidatus Levybacteria bacterium
GCA_001782315.1	Candidatus Levybacteria bacterium
GCA_001782355.1	Candidatus Levybacteria bacterium
GCA_001783935.1	Candidatus Levybacteria bacterium
GCA_001782335.1	Candidatus Levybacteria bacterium
GCA_001782345.1	Candidatus Levybacteria bacterium
GCA_001782395.1	Candidatus Levybacteria bacterium
GCA_001783955.1	Candidatus Levybacteria bacterium
GCA_001782415.1	Candidatus Levybacteria bacterium
GCA_001783975.1	Candidatus Levybacteria bacterium
GCA_001782445.1	Candidatus Levybacteria bacterium
GCA_001783995.1	Candidatus Levybacteria bacterium
GCA_001782435.1	Candidatus Levybacteria bacterium
GCA_001783985.1	Candidatus Levybacteria bacterium
GCA_001782475.1	Candidatus Levybacteria bacterium
GCA_001782495.1	Candidatus Levybacteria bacterium
GCA_001782515.1	Candidatus Levybacteria bacterium
GCA_001782525.1	Candidatus Levybacteria bacterium
GCA_001784035.1	Candidatus Levybacteria bacterium
GCA_001784045.1	Candidatus Levybacteria bacterium
GCA_001784055.1	Candidatus Levybacteria bacterium
GCA_001784095.1	Candidatus Levybacteria bacterium
GCA_001782555.1	Candidatus Levybacteria bacterium
GCA_001782565.1	Candidatus Levybacteria bacterium
GCA_001784115.1	Candidatus Levybacteria bacterium
GCA_001782605.1	Candidatus Levybacteria bacterium
GCA_001782595.1	Candidatus Levybacteria bacterium
GCA_001782635.1	Candidatus Levybacteria bacterium
GCA_001782645.1	Candidatus Levybacteria bacterium
GCA_001782685.1	Candidatus Levybacteria bacterium
GCA_001782675.1	Candidatus Levybacteria bacterium
GCA_001782715.1	Candidatus Levybacteria bacterium
GCA_001784155.1	Candidatus Levybacteria bacterium
GCA_001782725.1	Candidatus Levybacteria bacterium
GCA_001784125.1	Candidatus Levybacteria bacterium
GCA_001782735.1	Candidatus Levybacteria bacterium
GCA_001782755.1	Candidatus Levybacteria bacterium
GCA_001782795.1	Candidatus Lindowbacteria bacterium
GCA_001784175.1	Candidatus Lindowbacteria bacterium
GCA_001818515.1	Candidatus Liptonbacteria bacterium
GCA_001818535.1	Candidatus Liptonbacteria bacterium
GCA_001818545.1	Candidatus Liptonbacteria bacterium
GCA_001818575.1	Candidatus Liptonbacteria bacterium
GCA_001818595.1	Candidatus Liptonbacteria bacterium
GCA_001818615.1	Candidatus Liptonbacteria bacterium
GCA_001818625.1	Candidatus Liptonbacteria bacterium
GCA_001818895.1	Candidatus Liptonbacteria bacterium
GCA_001818655.1	Candidatus Liptonbacteria bacterium
GCA_001821315.1	Candidatus Liptonbacteria bacterium
GCA_001821355.1	Candidatus Liptonbacteria bacterium
GCA_001818915.1	Candidatus Liptonbacteria bacterium
GCA_001821375.1	Candidatus Liptonbacteria bacterium
GCA_001818935.1	Candidatus Lloydbacteria bacterium
GCA_001818945.1	Candidatus Lloydbacteria bacterium
GCA_001818975.1	Candidatus Lloydbacteria bacterium
GCA_001821385.1	Candidatus Lloydbacteria bacterium
GCA_001818995.1	Candidatus Lloydbacteria bacterium
GCA_001821395.1	Candidatus Lloydbacteria bacterium
GCA_001819015.1	Candidatus Lloydbacteria bacterium
GCA_001819035.1	Candidatus Lloydbacteria bacterium
GCA_001821435.1	Candidatus Lloydbacteria bacterium
GCA_001819055.1	Candidatus Lloydbacteria bacterium
GCA_001819075.1	Candidatus Lloydbacteria bacterium
GCA_001819095.1	Candidatus Lloydbacteria bacterium
GCA_001819115.1	Candidatus Lloydbacteria bacterium
GCA_001819135.1	Candidatus Lloydbacteria bacterium
GCA_001940655.1	Candidatus Lokiarchaeota archaeon
GCA_001782825.1	Candidatus Magasanikbacteria bacterium
GCA_001782805.1	Candidatus Magasanikbacteria bacterium
GCA_001784195.1	Candidatus Magasanikbacteria bacterium
GCA_001782815.1	Candidatus Magasanikbacteria bacterium
GCA_001782875.1	Candidatus Magasanikbacteria bacterium
GCA_001784205.1	Candidatus Magasanikbacteria bacterium
GCA_001782895.1	Candidatus Magasanikbacteria bacterium
GCA_001784235.1	Candidatus Magasanikbacteria bacterium
GCA_001784255.1	Candidatus Magasanikbacteria bacterium
GCA_001784275.1	Candidatus Magasanikbacteria bacterium
GCA_001784285.1	Candidatus Magasanikbacteria bacterium
GCA_001782975.1	Candidatus Magasanikbacteria bacterium
GCA_001782905.1	Candidatus Magasanikbacteria bacterium
GCA_001782935.1	Candidatus Magasanikbacteria bacterium
GCA_001782955.1	Candidatus Magasanikbacteria bacterium
GCA_001784325.1	Candidatus Magasanikbacteria bacterium
GCA_001782965.1	Candidatus Magasanikbacteria bacterium
GCA_001783015.1	Candidatus Magasanikbacteria bacterium
GCA_001783035.1	Candidatus Magasanikbacteria bacterium
GCA_001783045.1	Candidatus Magasanikbacteria bacterium
GCA_001784315.1	Candidatus Magasanikbacteria bacterium
GCA_001783065.1	Candidatus Magasanikbacteria bacterium
GCA_001783105.1	Candidatus Magasanikbacteria bacterium
GCA_001784355.1	Candidatus Magasanikbacteria bacterium
GCA_001783095.1	Candidatus Magasanikbacteria bacterium
GCA_001783135.1	Candidatus Magasanikbacteria bacterium
GCA_001784365.1	Candidatus Magasanikbacteria bacterium
GCA_001783145.1	Candidatus Magasanikbacteria bacterium
GCA_001784395.1	Candidatus Magasanikbacteria bacterium
GCA_001783175.1	Candidatus Magasanikbacteria bacterium
GCA_001784405.1	Candidatus Magasanikbacteria bacterium
GCA_001783195.1	Candidatus Magasanikbacteria bacterium
GCA_001783185.1	Candidatus Magasanikbacteria bacterium
GCA_001784435.1	Candidatus Magasanikbacteria bacterium
GCA_001783255.1	Candidatus Magasanikbacteria bacterium
GCA_001783215.1	Candidatus Magasanikbacteria bacterium
GCA_001784455.1	Candidatus Magasanikbacteria bacterium
GCA_001783315.1	Candidatus Magasanikbacteria bacterium
GCA_001784475.1	Candidatus Magasanikbacteria bacterium
GCA_001783265.1	Candidatus Margulisbacteria bacterium
GCA_001784485.1	Candidatus Margulisbacteria bacterium
GCA_001783275.1	Candidatus Margulisbacteria bacterium
GCA_001784515.1	Candidatus Margulisbacteria bacterium
GCA_001784535.1	Candidatus Melainabacteria bacterium
GCA_001786525.1	Candidatus Melainabacteria bacterium
GCA_001784565.1	Candidatus Melainabacteria bacterium
GCA_001784555.1	Candidatus Melainabacteria bacterium
GCA_001784585.1	Candidatus Melainabacteria bacterium
GCA_001786505.1	Candidatus Melainabacteria bacterium
GCA_001786555.1	Candidatus Melainabacteria bacterium
GCA_001784615.1	Candidatus Melainabacteria bacterium
GCA_001786585.1	Candidatus Micrarchaeota archaeon
GCA_001784635.1	Candidatus Micrarchaeota archaeon
GCA_001784675.1	Candidatus Moranbacteria bacterium
GCA_001784645.1	Candidatus Moranbacteria bacterium
GCA_001784695.1	Candidatus Moranbacteria bacterium
GCA_001786575.1	Candidatus Moranbacteria bacterium
GCA_001784725.1	Candidatus Moranbacteria bacterium
GCA_001786615.1	Candidatus Moranbacteria bacterium
GCA_001784715.1	Candidatus Moranbacteria bacterium
GCA_001786625.1	Candidatus Moranbacteria bacterium
GCA_001784735.1	Candidatus Moranbacteria bacterium
GCA_001784805.1	Candidatus Moranbacteria bacterium
GCA_001784815.1	Candidatus Moranbacteria bacterium
GCA_001784775.1	Candidatus Moranbacteria bacterium
GCA_001784795.1	Candidatus Moranbacteria bacterium
GCA_001784835.1	Candidatus Moranbacteria bacterium
GCA_001784915.1	Candidatus Moranbacteria bacterium
GCA_001784875.1	Candidatus Moranbacteria bacterium
