accession	name	class	bioproject	biosample	genome_type	taxid	species_taxid	strain_name	specific_name	assembly_level	release_dateasm_name		submitter	ftp_path	local_filename
GCF_000159235.2	Atopobium vaginae DSM 15829	Coriobacteriia	PRJNA224116	SAMN00001474	representative genome	525256	82135	strain=DSM 15829		Contig	4/5/11	ASM15923v2	Baylor College of Medecine	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/235/GCF_000159235.2_ASM15923v2	./actino/refseq/bacteria/GCF_000159235.2/GCF_000159235.2_ASM15923v2_genomic.fna.gz
GCF_000162875.1	Slackia exigua ATCC 700122	Coriobacteriia	PRJNA224116	SAMN00008861	representative genome	649764	84109	strain=ATCC 700122		Scaffold	9/16/09	ASM16287v1	WUGSC	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/162/875/GCF_000162875.1_ASM16287v1	./actino/refseq/bacteria/GCF_000162875.1/GCF_000162875.1_ASM16287v1_genomic.fna.gz
GCF_000169035.1	Collinsella aerofaciens ATCC 25986	Coriobacteriia	PRJNA224116	SAMN00627067	representative genome	411903	74426	strain=ATCC 25986		Contig	5/7/07	ASM16903v1	Washington University Genome Sequencing Center	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/169/035/GCF_000169035.1_ASM16903v1	./actino/refseq/bacteria/GCF_000169035.1/GCF_000169035.1_ASM16903v1_genomic.fna.gz
GCF_000174015.1	Atopobium rimae ATCC 49626	Coriobacteriia	PRJNA224116	SAMN00000717	representative genome	553184	1383	strain=ATCC 49626		Contig	1/22/09	ASM17401v1	J. Craig Venter Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/015/GCF_000174015.1_ASM17401v1	./actino/refseq/bacteria/GCF_000174015.1/GCF_000174015.1_ASM17401v1_genomic.fna.gz
GCF_000179715.1	Atopobium vaginae PB189-T1-4	Coriobacteriia	PRJNA224116	SAMN00100753	representative genome	866774	82135	strain=PB189-T1-4		Contig	8/10/10	ASM17971v1	J. Craig Venter Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/715/GCF_000179715.1_ASM17971v1	./actino/refseq/bacteria/GCF_000179715.1/GCF_000179715.1_ASM17971v1_genomic.fna.gz
GCF_000195315.1	Coriobacterium glomerans PW2	Coriobacteriia	PRJNA224116	SAMN00713604	representative genome	700015	33871	strain=PW2		Complete Genome	4/7/11	ASM19531v1	US DOE Joint Genome Institute (JGI-PGF)	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/315/GCF_000195315.1_ASM19531v1	./actino/refseq/bacteria/GCF_000195315.1/GCF_000195315.1_ASM19531v1_genomic.fna.gz
GCF_000210055.1	Gordonibacter pamelaeae 7-10-1-b	Coriobacteriia	PRJNA224116	SAMEA3138362	representative genome	657308	471189	strain=7-10-1-bT		Chromosome	4/23/10	ASM21005v1	MetaHIT	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/210/055/GCF_000210055.1_ASM21005v1	./actino/refseq/bacteria/GCF_000210055.1/GCF_000210055.1_ASM21005v1_genomic.fna.gz
GCF_000225705.1	Collinsella tanakaei YIT 12063	Coriobacteriia	PRJNA224116	SAMN02463859	representative genome	742742	626935	strain=YIT 12063		Scaffold	9/13/11	Coll_tana_YIT_12063_V1	Broad Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/225/705/GCF_000225705.1_Coll_tana_YIT_12063_V1	./actino/refseq/bacteria/GCF_000225705.1/GCF_000225705.1_Coll_tana_YIT_12063_V1_genomic.fna.gz
GCF_000236865.1	Senegalimassilia anaerobia JC110	Coriobacteriia	PRJNA224116	SAMEA2272806	representative genome	1034345	1473216	strain=type strain: JC110		Scaffold	11/30/11	ASM23686v1	laboratoire URMITE CNRS 6236	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/236/865/GCF_000236865.1_ASM23686v1	./actino/refseq/bacteria/GCF_000236865.1/GCF_000236865.1_ASM23686v1_genomic.fna.gz
GCF_000296445.1	Slackia piriformis YIT 12062	Coriobacteriia	PRJNA224116	SAMN02595396	representative genome	742818	626934	strain=YIT 12062		Scaffold	9/17/12	Slac_piri_YIT_12062_V1	Broad Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/296/445/GCF_000296445.1_Slac_piri_YIT_12062_V1	./actino/refseq/bacteria/GCF_000296445.1/GCF_000296445.1_Slac_piri_YIT_12062_V1_genomic.fna.gz
GCF_000299415.1	Candidatus Microthrix parvicella Bio17-1	Acidimicrobiia	PRJNA224116	SAMN01730125	na	1231054	41950	strain=Bio17-1		Contig	9/27/12	ASM29941v1	Luxembourg Centre for Systems Biomedecine	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/415/GCF_000299415.1_ASM29941v1	./actino/refseq/bacteria/GCF_000299415.1/GCF_000299415.1_ASM29941v1_genomic.fna.gz
GCF_000311845.1	Enorma massiliensis phI	Coriobacteriia	PRJNA224116	SAMEA2272149	representative genome	1118060	1472761		phI	Scaffold	8/16/12	ASM31184v1	URMITE CNRS UMR 6236 IRD 198	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/311/845/GCF_000311845.1_ASM31184v1	./actino/refseq/bacteria/GCF_000311845.1/GCF_000311845.1_ASM31184v1_genomic.fna.gz
GCF_000350145.1	Ilumatobacter nonamiensis YM16-303	Acidimicrobiia	PRJNA224116	SAMD00036665	representative genome	1313171	467093	strain=YM16-303		Contig	3/27/13	ASM35014v1	Kitasato University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/350/145/GCF_000350145.1_ASM35014v1	./actino/refseq/bacteria/GCF_000350145.1/GCF_000350145.1_ASM35014v1_genomic.fna.gz
GCF_000403355.2	Enterorhabdus caecimuris B7	Coriobacteriia	PRJNA224116	SAMN01730995	representative genome	1235794	671266	strain=B7		Scaffold	6/14/13	Ente_caec_B7_V1	Broad Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/403/355/GCF_000403355.2_Ente_caec_B7_V1	./actino/refseq/bacteria/GCF_000403355.2/GCF_000403355.2_Ente_caec_B7_V1_genomic.fna.gz
GCF_000422625.1	Enterorhabdus mucosicola DSM 19490	Coriobacteriia	PRJNA224116	SAMN02440648	representative genome	1121866	580026	strain=DSM 19490		Scaffold	7/11/13	ASM42262v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/625/GCF_000422625.1_ASM42262v1	./actino/refseq/bacteria/GCF_000422625.1/GCF_000422625.1_ASM42262v1_genomic.fna.gz
GCF_000455525.1	Candidatus Microthrix parvicella RN1	Acidimicrobiia	PRJNA224116	SAMEA2272438	na	1229780	41950	strain=RN1		Scaffold	8/15/13	M.parvicella.RN1	"Department of Biotechnology, Chemistry and Environmental Engineering, Aalborg University"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/455/525/GCF_000455525.1_M.parvicella.RN1	./actino/refseq/bacteria/GCF_000455525.1/GCF_000455525.1_M.parvicella.RN1_genomic.fna.gz
GCF_000468755.1	Olsenella profusa F0195	Coriobacteriia	PRJNA224116	SAMN00792224	representative genome	1125712	138595	strain=F0195		Contig	9/19/13	OprofF0195v1.0	J. Craig Venter Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/755/GCF_000468755.1_OprofF0195v1.0	./actino/refseq/bacteria/GCF_000468755.1/GCF_000468755.1_OprofF0195v1.0_genomic.fna.gz
GCF_000478885.1	Adlercreutzia equolifaciens DSM 19450	Coriobacteriia	PRJNA224116	SAMD00061014	representative genome	1384484	446660	strain=DSM 19450		Complete Genome	8/16/13	ASM47888v1	Azabu University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/478/885/GCF_000478885.1_ASM47888v1	./actino/refseq/bacteria/GCF_000478885.1/GCF_000478885.1_ASM47888v1_genomic.fna.gz
GCF_000483125.1	Atopobium fossor DSM 15642	Coriobacteriia	PRJNA224116	SAMN02440747	representative genome	1121023	39487	strain=DSM 15642		Scaffold	10/25/13	ASM48312v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/483/125/GCF_000483125.1_ASM48312v1	./actino/refseq/bacteria/GCF_000483125.1/GCF_000483125.1_ASM48312v1_genomic.fna.gz
GCF_000661895.1	Rubrobacter radiotolerans	Rubrobacteria	PRJNA224116	SAMN02708830	representative genome	42256	42256	strain=RSPS-4		Complete Genome	5/1/14	ASM66189v1	Biocant	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/661/895/GCF_000661895.1_ASM66189v1	./actino/refseq/bacteria/GCF_000661895.1/GCF_000661895.1_ASM66189v1_genomic.fna.gz
GCF_000745905.1	Ferrimicrobium acidiphilum DSM 19497	Acidimicrobiia	PRJNA224116	SAMN02745886	representative genome	1121877	121039	strain=DSM 19497		Scaffold	8/28/14	ASM74590v1	DOE Joint Genome Institute	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/745/905/GCF_000745905.1_ASM74590v1	./actino/refseq/bacteria/GCF_000745905.1/GCF_000745905.1_ASM74590v1_genomic.fna.gz
GCF_000949255.1	Ferrimicrobium acidiphilum DSM 19497	Acidimicrobiia	PRJNA224116	SAMN03299411	na	1121877	121039	strain=T23		Contig	3/6/15	FAP1	"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/255/GCF_000949255.1_FAP1	./actino/refseq/bacteria/GCF_000949255.1/GCF_000949255.1_FAP1_genomic.fna.gz
GCF_000949295.1	Acidithrix ferrooxidans	Acidimicrobiia	PRJNA224116	SAMN03301760	representative genome	1280514	1280514	strain=Py-F3		Contig	3/6/15	ASM94929v1	"Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory"	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/949/295/GCF_000949295.1_ASM94929v1	./actino/refseq/bacteria/GCF_000949295.1/GCF_000949295.1_ASM94929v1_genomic.fna.gz
GCF_001029505.1	Rubrobacter aplysinae	Rubrobacteria	PRJNA224116	SAMN03729479	representative genome	909625	909625	strain=RV113		Scaffold	6/18/15	ASM102950v1	University of Wuerzburg	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/505/GCF_001029505.1_ASM102950v1	./actino/refseq/bacteria/GCF_001029505.1/GCF_001029505.1_ASM102950v1_genomic.fna.gz
GCF_001437015.1	Atopobium minutum	Coriobacteriia	PRJNA224116	SAMN02797803	representative genome	1381	1381	strain=DSM 20586		Scaffold	11/6/15	ASM143701v1	Shanghai Majorbio	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/437/015/GCF_001437015.1_ASM143701v1	./actino/refseq/bacteria/GCF_001437015.1/GCF_001437015.1_ASM143701v1_genomic.fna.gz
GCF_001494635.1	Olsenella scatoligenes	Coriobacteriia	PRJNA224116	SAMN04329949	representative genome	1299998	1299998	strain=SK9K4		Contig	1/5/16	ASM149463v1	Aarhus University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/494/635/GCF_001494635.1_ASM149463v1	./actino/refseq/bacteria/GCF_001494635.1/GCF_001494635.1_ASM149463v1_genomic.fna.gz
GCF_001552785.1	Atopobium deltae	Coriobacteriia	PRJNA224116	SAMN03842163	representative genome	1393034	1393034	strain=DNF00019		Scaffold	2/8/16	ASM155278v1	The Genome Institute at Washington University	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/552/785/GCF_001552785.1_ASM155278v1	./actino/refseq/bacteria/GCF_001552785.1/GCF_001552785.1_ASM155278v1_genomic.fna.gz
GCF_001643775.1	Denitrobacterium detoxificans	Coriobacteriia	PRJNA224116	SAMN03610232	representative genome	79604	79604	strain=NPOH1		Complete Genome	5/16/16	ASM164377v1	ARS USDA	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/643/775/GCF_001643775.1_ASM164377v1	./actino/refseq/bacteria/GCF_001643775.1/GCF_001643775.1_ASM164377v1_genomic.fna.gz
GCF_900046475.1	Collinsella ihuae	Coriobacteriia	PRJNA224116	SAMEA3857553	representative genome	1720204	1720204	strain=GD8		Contig	1/29/16	Collinsella ihumii	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/046/475/GCF_900046475.1_Collinsella_ihumii	./actino/refseq/bacteria/GCF_900046475.1/GCF_900046475.1_Collinsella_ihumii_genomic.fna.gz
GCF_900078545.1	Olegusella massiliensis	Coriobacteriia	PRJNA224116	SAMEA3911737	representative genome	1776381	1776381	strain=KHD7		Contig	5/26/16	PRJEB13207	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/078/545/GCF_900078545.1_PRJEB13207	./actino/refseq/bacteria/GCF_900078545.1/GCF_900078545.1_PRJEB13207_genomic.fna.gz
GCF_900105025.1	Olsenella umbonata	Coriobacteriia	PRJNA224116	SAMN04489857	representative genome	604330	604330	strain=DSM 22620		Chromosome	10/21/16	IMG-taxon 2636416177 annotated assembly	DOE - JOINT GENOME INSTITUTE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/105/025/GCF_900105025.1_IMG-taxon_2636416177_annotated_assembly	./actino/refseq/bacteria/GCF_900105025.1/GCF_900105025.1_IMG-taxon_2636416177_annotated_assembly_genomic.fna.gz
GCF_900111255.1	Olsenella umbonata	Coriobacteriia	PRJNA224116	SAMN05216446	representative genome	604330	604330	strain=KHGC19		Scaffold	10/31/16	IMG-taxon 2660238784 annotated assembly	DOE - JOINT GENOME INSTITUTE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/111/255/GCF_900111255.1_IMG-taxon_2660238784_annotated_assembly	./actino/refseq/bacteria/GCF_900111255.1/GCF_900111255.1_IMG-taxon_2660238784_annotated_assembly_genomic.fna.gz
GCF_900119895.1	Collinsella phocaeensis	Coriobacteriia	PRJNA224116	SAMEA4555188	representative genome	1871016	1871016	strain=Marseille-P3245		Contig	11/27/16	PRJEB18019	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/119/895/GCF_900119895.1_PRJEB18019	./actino/refseq/bacteria/GCF_900119895.1/GCF_900119895.1_PRJEB18019_genomic.fna.gz
GCF_900128965.1	Ferrithrix thermotolerans DSM 19514	Acidimicrobiia	PRJNA224116	SAMN02745225	representative genome	1121881	209649	strain=DSM 19514		Scaffold	12/3/16	IMG-taxon 2582580746 annotated assembly	DOE - JOINT GENOME INSTITUTE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/128/965/GCF_900128965.1_IMG-taxon_2582580746_annotated_assembly	./actino/refseq/bacteria/GCF_900128965.1/GCF_900128965.1_IMG-taxon_2582580746_annotated_assembly_genomic.fna.gz
GCF_900143685.1	Libanicoccus massiliensis	Coriobacteriia	PRJNA224116	SAMEA4555315	representative genome	1871022	1871022	strain=Marseille-P3237		Chromosome	12/8/16	PRJEB18025	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/143/685/GCF_900143685.1_PRJEB18025	./actino/refseq/bacteria/GCF_900143685.1/GCF_900143685.1_PRJEB18025_genomic.fna.gz
GCF_900155365.1	Collinsella bouchesdurhonensis	Coriobacteriia	PRJNA224116	SAMEA37051168	representative genome	1907654	1907654	strain=Marseille-P3296		Scaffold	1/5/17	PRJEB18748	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/155/365/GCF_900155365.1_PRJEB18748	./actino/refseq/bacteria/GCF_900155365.1/GCF_900155365.1_PRJEB18748_genomic.fna.gz
GCF_900169485.1	Phoenicibacter congonensis	Coriobacteriia	PRJNA224116	SAMEA103910411	representative genome	1944646	1944646	strain=Marseille-P3241		Complete Genome	3/14/17	PRJEB19959	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/169/485/GCF_900169485.1_PRJEB19959	./actino/refseq/bacteria/GCF_900169485.1/GCF_900169485.1_PRJEB19959_genomic.fna.gz
GCF_900169505.1	Arabia massiliensis	Coriobacteriia	PRJNA224116	SAMEA103910505	representative genome	1870985	1870985	strain=Marseille-P3078		Scaffold	3/24/17	PRJEB19971	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/169/505/GCF_900169505.1_PRJEB19971	./actino/refseq/bacteria/GCF_900169505.1/GCF_900169505.1_PRJEB19971_genomic.fna.gz
GCF_900170005.1	Gordonibacter massiliensis	Coriobacteriia	PRJNA224116	SAMEA103910952	representative genome	1841863	1841863	strain=Marseille-P2775		Complete Genome	3/21/17	PRJEB19975	URMITE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/170/005/GCF_900170005.1_PRJEB19975	./actino/refseq/bacteria/GCF_900170005.1/GCF_900170005.1_PRJEB19975_genomic.fna.gz
GCF_900175965.1	Rubrobacter radiotolerans DSM 5868	Rubrobacteria	PRJNA224116	SAMN00767673	na	643560	42256	strain=DSM 5868		Contig	4/7/17	IMG-taxon 2505679031 annotated assembly	DOE - JOINT GENOME INSTITUTE	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/175/965/GCF_900175965.1_IMG-taxon_2505679031_annotated_assembly	./actino/refseq/bacteria/GCF_900175965.1/GCF_900175965.1_IMG-taxon_2505679031_annotated_assembly_genomic.fna.gz
GCA_003344625.1	Solirubrobacter sp. CPCC 204708 	Thermoleophilia	PRJNA481724	SAMN09689201	na	na	na	na		contig	7/27/18		Chinese Academy of Medical Sciences & Peking Union Medical College		
GCA_004525525.1	Solirubrobacterales bacterium	Thermoleophilia	PRJNA511814	SAMN11127085	na	na	na	na		contig	3/30/19		Radboud University Njmegen		
GCA_003633755.1	Solirubrobacterales pauli	Thermoleophilia	PRJNA443675	SAMN08777686				DSM 14954		scaffold	10/11/18		DOE Joint Genome Institute		
bacteria20068	PERMA-THERM1	Thermoleophilia	PRJNA386568	SAMN08179422	GCA_003132645.1(fen)	na	na	na		scaffold	5/18/18		"Australian Centre for Ecogenomics, The University of Queensland"		
bacteria30002	MENDH-THERM	Thermoleophilia	na	na	na	na	na	na		contig	na		Lake Mendota Peterson		
bacteria00190	TBH-THERM	Thermoleophilia			2582580680										
bacteria20819	PERMA-THERM2	Thermoleophilia			GCA_003157225.1(bog)										
GCA_000009045.1	Bacillus subtilis	outgroup													
