genome_name,original_name,genome_size,completeness,redundancy,GC.,taxonomy,ncbi_taxonomy,Phylum,Group,gtdb_taxonomy,Strain,BioSample,BioProject,Level,Scaffolds,Release.Date,Study,Environment,Code
bacteria07725,GCA_001797585.1,2.4,86.40706605,0,41.8,Deltaproteobacteria bacterium GWD2_42_10,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__,,SAMN04314211,PRJNA288027,Scaffold,142,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07729,GCA_001797665.1,2.44,87.88018433,0.64516129,42,Deltaproteobacteria bacterium GWF2_42_12,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__,,SAMN04314143,PRJNA288027,Scaffold,126,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07731,GCA_001797695.1,2.59,77.76753712,1.451612903,47.9,Deltaproteobacteria bacterium RBG_13_49_15,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__,,SAMN04313686,PRJNA288027,Scaffold,201,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07733,GCA_001797745.1,2.54,80,5.340501792,51.4,Deltaproteobacteria bacterium RBG_13_52_11,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__RBG-16-54-18;g__;s__,,SAMN04313986,PRJNA288027,Scaffold,107,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07738,GCA_001797845.1,2.43,93.87096774,1.326164875,43.2,Deltaproteobacteria bacterium RBG_16_44_11,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__,,SAMN04313748,PRJNA288027,Scaffold,47,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07743,GCA_001797945.1,2.41,90,1.290322581,55.9,Deltaproteobacteria bacterium RBG_16_58_17,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__,,SAMN04313708,PRJNA288027,Scaffold,117,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07753,GCA_001798155.1,1.9,70.62211982,0.64516129,41.9,Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_42_44,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__,,SAMN04315482,PRJNA288027,Scaffold,145,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07754,GCA_001798165.1,2.19,88.04147465,0.64516129,42.5,Deltaproteobacteria bacterium RIFCSPHIGHO2_02_FULL_43_33,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__,,SAMN04315483,PRJNA288027,Scaffold,126,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07767,GCA_001798425.1,2.71,91.4516129,1.935483871,55.3,Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_55_12,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWC2-55-46;s__,,SAMN04316069,PRJNA288027,Scaffold,35,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07776,GCA_001798605.1,6.37,87.80337942,5.698924731,58.3,Deltaproteobacteria bacterium RIFOXYA12_FULL_58_15,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__,,SAMN04314410,PRJNA288027,Scaffold,381,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07777,GCA_001798625.1,2.58,84.00921659,0.681003584,41.6,Deltaproteobacteria bacterium RIFOXYA2_FULL_42_10,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__,,SAMN04314356,PRJNA288027,Scaffold,190,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07782,GCA_001798725.1,2.38,78.35411943,2.998236332,53,Deltaproteobacteria bacterium RIFOXYD12_FULL_53_23,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__,,SAMN04314641,PRJNA288027,Scaffold,181,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07791,GCA_001798915.1,1.99,68.640553,5.161290323,42.5,Deltaproteobacteria bacterium RBG_19FT_COMBO_43_11,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA4810;s__,,SAMN04314152,PRJNA288027,Scaffold,138,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07807,GCA_001799225.1,3.77,84.98677249,1.587301587,49.7,Deltaproteobacteria bacterium RIFOXYD12_FULL_50_9,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__;s__,,SAMN04314632,PRJNA288027,Scaffold,274,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07809,GCA_001799275.1,3.84,93.20987654,1.19047619,56.5,Deltaproteobacteria bacterium RIFOXYD12_FULL_57_12,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__;g__;s__,,SAMN04314642,PRJNA288027,Scaffold,126,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07810,GCA_001799285.1,3.04,94.27910053,0,56.4,Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfurivibrionaceae;g__UBA2262;s__,,SAMN04314633,PRJNA288027,Scaffold,67,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07814,GCA_001799365.1,4.51,91.90602167,0.892857143,55.3,Desulfobacterales bacterium GWB2_56_26,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__,,SAMN04313902,PRJNA288027,Scaffold,263,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07815,GCA_001799395.1,4.74,97.41935484,0.99078341,45.3,Desulfobacterales bacterium RIFOXYA12_FULL_46_15,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacula;s__,,SAMN04314398,PRJNA288027,Scaffold,250,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07820,GCA_001799485.1,2.78,77.90322581,0.668202765,61.6,Desulfuromonadales bacterium GWC2_61_20,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__;s__,,SAMN04314126,PRJNA288027,Scaffold,163,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07821,GCA_001799505.1,2.7,68.47311828,0.161290323,51.6,Desulfuromonadales bacterium GWD2_54_10,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__,,SAMN04313904,PRJNA288027,Scaffold,243,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07828,GCA_001799645.1,2.74,89.59822949,2.247191011,64.2,Elusimicrobia bacterium GWA2_64_40,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__,,SAMN04313850,PRJNA288027,Scaffold,78,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07830,GCA_001799695.1,4.2,83.89513109,1.685393258,68.5,Elusimicrobia bacterium GWA2_69_24,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__;s__,,SAMN04313857,PRJNA288027,Scaffold,132,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07831,GCA_001799715.1,2.87,89.66632618,1.123595506,63.6,Elusimicrobia bacterium GWB2_63_16,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__,,SAMN04313851,PRJNA288027,Scaffold,62,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07832,GCA_001799735.1,3.06,92.84984678,1.123595506,62.5,Elusimicrobia bacterium GWB2_63_22,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__,,SAMN04313852,PRJNA288027,Scaffold,45,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07835,GCA_001799795.1,1.36,60.36772217,1.123595506,60.7,Elusimicrobia bacterium GWC2_61_19,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__,,SAMN04314202,PRJNA288027,Scaffold,29,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07840,GCA_001799895.1,3.29,88.38951311,2.247191011,62.9,Elusimicrobia bacterium GWD2_63_28,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__Elusimicrobiales;f__UBA9959;g__UBA9959;s__,,SAMN04314210,PRJNA288027,Scaffold,74,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07857,GCA_001800235.1,2.28,96.56311963,0,47.9,Elusimicrobia bacterium RIFOXYA12_FULL_49_49,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__,,SAMN04314399,PRJNA288027,Scaffold,22,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07861,GCA_001800315.1,2.41,96.56311963,0,47.8,Elusimicrobia bacterium RIFOXYA2_FULL_47_53,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__,,SAMN04314372,PRJNA288027,Scaffold,20,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07862,GCA_001800325.1,1.93,50.52975225,2.247191011,40.1,Elusimicrobia bacterium RIFOXYA2_FULL_40_6,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__XYA2-FULL-39-19;g__;s__,,SAMN04316171,PRJNA288027,Scaffold,194,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07867,GCA_001800425.1,1.84,75.71050892,0.204290092,47.3,Elusimicrobia bacterium RIFOXYB1_FULL_48_9,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__,,SAMN04314507,PRJNA288027,Scaffold,133,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07868,GCA_001800455.1,1.95,82.73748723,0,48.4,Elusimicrobia bacterium RIFOXYB12_FULL_50_12,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__,,SAMN04314460,PRJNA288027,Scaffold,30,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07869,GCA_001800475.1,2.4,96.56311963,0,47.8,Elusimicrobia bacterium RIFOXYB2_FULL_46_23,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__,,SAMN04314444,PRJNA288027,Scaffold,26,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07870,GCA_001800495.1,2.2,72.30367121,1.123595506,47.3,Elusimicrobia bacterium RIFOXYB2_FULL_48_7,Bacteria;Elusimicrobia;unclassified Elusimicrobia,Elusimicrobia,Elusimicrobia,d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__CG1-02-37-114;f__XYA2-FULL-39-19;g__;s__,,SAMN04314418,PRJNA288027,Scaffold,223,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07941,GCA_001802095.1,2.96,62.88581669,8.387096774,51,Geobacteraceae bacterium GWB2_52_12,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__;s__,,SAMN04313901,PRJNA288027,Scaffold,265,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07943,GCA_001802135.1,6.22,95.32411674,7.373271889,59.9,Geobacteraceae bacterium GWC2_58_44,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__,,SAMN04314196,PRJNA288027,Scaffold,147,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria07997,GCA_001803235.1,10.6,95.27027027,5.603701528,64.9,Lentisphaerae bacterium RIFOXYA12_64_32,Bacteria;PVC group;Lentisphaerae,PVC,PVC,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__,,SAMN04316206,PRJNA288027,Scaffold,503,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08000,GCA_001803305.1,10.3,92.56756757,6.279377203,65,Lentisphaerae bacterium RIFOXYB12_FULL_65_16,Bacteria;PVC group;Lentisphaerae,PVC,PVC,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__;g__;s__,,SAMN04316207,PRJNA288027,Scaffold,392,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08015,GCA_001803605.1,2.29,92.27272727,0.909090909,46.6,Nitrospirae bacterium GWA2_46_11,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__,,SAMN04314103,PRJNA288027,Scaffold,56,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08017,GCA_001803635.1,2.47,96.36363636,0,46.4,Nitrospirae bacterium GWB2_47_37,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__;s__,,SAMN04313876,PRJNA288027,Scaffold,81,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08020,GCA_001803705.1,3.16,67.04545455,0.909090909,56.1,Nitrospirae bacterium GWC2_56_14,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__,,SAMN04313879,PRJNA288027,Scaffold,259,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08027,GCA_001803845.1,1.74,53.40530303,0,52.2,Nitrospirae bacterium RBG_19FT_COMBO_55_12,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__UBA9217;o__UBA9217;f__UBA9217;g__;s__,,SAMN04314067,PRJNA288027,Scaffold,172,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08032,GCA_001803945.1,1.93,94.54545455,0.909090909,43.6,Nitrospirae bacterium RIFOXYA2_FULL_44_9,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__,,SAMN04314343,PRJNA288027,Scaffold,53,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08033,GCA_001803955.1,1.37,54.22474747,1.818181818,42.6,Nitrospirae bacterium RIFOXYB2_FULL_43_5,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__,,SAMN04316169,PRJNA288027,Scaffold,644,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08078,GCA_001804865.1,5.05,91.38513514,4.083431257,56.9,Lentisphaerae bacterium GWF2_57_35,Bacteria;PVC group;Lentisphaerae,PVC,PVC,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__;g__;s__,,SAMN04313867,PRJNA288027,Scaffold,74,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08079,GCA_001804885.1,5.68,89.41441441,2.702702703,47.9,Lentisphaerae bacterium RIFOXYA12_FULL_48_11,Bacteria;PVC group;Lentisphaerae,PVC,PVC,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__,,SAMN04314404,PRJNA288027,Scaffold,314,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08090,GCA_001805105.1,1.99,95.45454545,0.909090909,43.7,Nitrospirae bacterium GWF2_44_13,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__,,SAMN04313875,PRJNA288027,Scaffold,18,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08100,GCA_001805295.1,1.68,77.34974747,1.136363636,42.9,Nitrospirae bacterium RIFOXYC2_FULL_44_7,Bacteria;Nitrospirae;unclassified Nitrospirae,Nitrospirae,Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__,,SAMN04314605,PRJNA288027,Scaffold,457,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08141,GCA_001806225.1,1.86,74.00921659,0.64516129,41.9,Deltaproteobacteria bacterium RIFCSPLOWO2_02_FULL_42_39,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__,,SAMN04315935,PRJNA288027,Scaffold,128,2016-10-20T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08617,GCA_001825565.1,3.16,89.78494624,0.64516129,57.7,Desulfuromonadaceae bacterium GWC2_58_13,Bacteria;Proteobacteria;delta/epsilon subdivisions,Deltaproteobacteria,Deltaproteobacteria,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Desulfuromonadaceae_A;g__Desulfuromonas_D;s__,,SAMN04313905,PRJNA288027,Scaffold,193,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08626,GCA_001828265.1,4.89,68.55369107,0,61.1,PVC bacterium RBG_13_63_9,Bacteria;PVC group;PVC,PVC,PVC,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__,,SAMN04313691,PRJNA288027,Scaffold,398,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08629,GCA_001828335.1,6.18,82.75862069,0,63,PVC bacterium RBG_16_64_12,Bacteria;PVC group;PVC,PVC,PVC,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Thermoguttaceae;g__;s__,,SAMN04313719,PRJNA288027,Scaffold,457,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08669,GCA_001829125.1,4.4,89.06666667,0.047058824,26.8,Spirochaetes bacterium GWB1_27_13,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__,,SAMN04314119,PRJNA288027,Scaffold,273,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08670,GCA_001829155.1,3.04,90.38334435,0,36.1,Spirochaetes bacterium GWB1_36_13,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__UBA6919;o__;f__;g__;s__,,SAMN04313962,PRJNA288027,Scaffold,151,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08671,GCA_001829165.1,4.96,82.37547893,8.254963427,58.2,Spirochaetes bacterium GWB1_59_5,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA5200;s__,,SAMN04313959,PRJNA288027,Scaffold,373,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08672,GCA_001829185.1,3.6,97.70114943,1.724137931,60.5,Spirochaetes bacterium GWB1_60_80,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__,,SAMN04313958,PRJNA288027,Scaffold,59,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08673,GCA_001829215.1,2.71,62.53333333,0,65.3,Spirochaetes bacterium GWB1_66_5,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__RBG-16-67-19;g__;s__,,SAMN04314185,PRJNA288027,Scaffold,295,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08675,GCA_001829245.1,3.48,97.70114943,1.724137931,60.4,Spirochaetes bacterium GWC1_61_12,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__,,SAMN04314125,PRJNA288027,Scaffold,113,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08677,GCA_001829295.1,3.59,97.70114943,1.724137931,60.5,Spirochaetes bacterium GWD1_61_31,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__;s__,,SAMN04314208,PRJNA288027,Scaffold,138,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08678,GCA_001829315.1,4.03,97.4,3.2,31.5,Spirochaetes bacterium GWE1_32_154,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__,,SAMN04313951,PRJNA288027,Scaffold,43,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08679,GCA_001829335.1,4.12,96.54666667,2.4,31.5,Spirochaetes bacterium GWE2_31_10,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__,,SAMN04313950,PRJNA288027,Scaffold,113,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08680,GCA_001829345.1,4.1,96.2,2.4,31.5,Spirochaetes bacterium GWF1_31_7,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__GWE2-31-10;o__GWE2-31-10;f__GWE2-31-10;g__;s__,,SAMN04314136,PRJNA288027,Scaffold,89,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
bacteria08681,GCA_001829375.1,4.2,78.48,1.2,41.2,Spirochaetes bacterium GWF1_41_5,Bacteria;Spirochaetes;unclassified Spirochaetes,Spirochaetes,Spirochaetes,d__Bacteria;p__Spirochaetota;c__UBA12135;o__UBA12135;f__UBA12135;g__UBA12135;s__,,SAMN04314217,PRJNA288027,Scaffold,400,2016-10-21T00:00:00Z,Anantharaman2016,Subsurface,Subsurface
