genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_002408285.1,Peptococcaceae bacterium UBA5318,96.16,6.23,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Peptococcia;o__DRI-13;f__DRI-13;g__UBA5318;s__UBA5318 sp002408285,Firmicutes,Firmicutes,UBA5318,SAMN06453313,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002408285.1,Scaffold,2.7171,46.7,,DHRG01,69,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/408/285/GCA_002408285.1_ASM240828v1,
GCA_002783725.1,Deltaproteobacteria bacterium CG_4_8_14_3_um_filter_45_9,80.37,2.58,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__BSN033;o__BSN033;f__UBA1163;g__UBA1163;s__UBA1163 sp002780715,Deltaproteobacteria,Deltaproteobacteria,CG_4_8_14_3_um_filter_45_9,SAMN06659919,PRJNA362739,aquifer metagenome,Probst et al. 2024,Subsurface,GCA_002783725.1,Scaffold,3.01386,45,,PFIE01,417,3088,2017-11-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/783/725/GCA_002783725.1_ASM278372v1,
GCA_003159865.1,Syntrophaceae bacterium,86.65,0.97,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775,Deltaproteobacteria,Deltaproteobacteria,bog_1157,SAMN08180046,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003159865.1,Scaffold,2.64649,43.3,,PLPQ01,386,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/159/865/GCA_003159865.1_20120700_S3D,
GCA_002869005.1,Deltaproteobacteria bacterium,94.21,2.52,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Deferrisomatota;c__Defferisomatia;o__Defferisomatales;f__BM512;g__BM512;s__BM512 sp002869005,Deltaproteobacteria,Deltaproteobacteria,BM525,SAMN07982679,PRJNA387015,bioreactor metagenome,NA,Engineered,GCA_002869005.1,Scaffold,2.59683,55.1,,PKTU01,192,2502,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/005/GCA_002869005.1_ASM286900v1,
GCA_003142535.1,Syntrophaceae bacterium,93.55,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__Fen-1166 sp003142535,Deltaproteobacteria,Deltaproteobacteria,fen_1166,SAMN08180125,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142535.1,Scaffold,2.92832,43.4,,PLMQ01,70,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/535/GCA_003142535.1_20120800_E2X,
GCA_003157075.1,Bacteroidales bacterium,86.33,4.57,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003157075,Bacteroidetes,Bacteroidetes,fen_956,SAMN08179607,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003157075.1,Scaffold,4.72844,38.9,,PMIL01,372,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/075/GCA_003157075.1_20120600_E3D,
GCA_002753225.1,Deltaproteobacteria bacterium YD0425bin51,96.13,0.84,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__YD0425bin51;g__YD0425bin51;s__YD0425bin51 sp002753225,Deltaproteobacteria,Deltaproteobacteria,YD0425bin51,SAMN07572861,PRJNA400260,Sediment metagenome,NA,Sediment,GCA_002753225.1,Contig,5.22162,32.2,,PDZS01,134,0,2017-11-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/753/225/GCA_002753225.1_ASM275322v1,
GCA_002347425.1,Firmicutes bacterium UBA2269,83.94,3.8,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__46-80;s__46-80 sp002382755,Firmicutes,Firmicutes,UBA2269,SAMN06452453,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002347425.1,Scaffold,1.82143,46.3,,DDXD01,218,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/425/GCA_002347425.1_ASM234742v1,
GCA_002841765.1,Deltaproteobacteria bacterium HGW-Deltaproteobacteria-4,98.35,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2197;g__UBA2197;s__UBA2197 sp002841765,Deltaproteobacteria,Deltaproteobacteria,HGW-Deltaproteobacteria-4,SAMN06767655,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002841765.1,Scaffold,3.02185,55.8,,PHAV01,30,2662,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/765/GCA_002841765.1_ASM284176v1,
GCA_003314535.1,Geobacter sp.,98.71,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__UBA4078 sp003314535,Deltaproteobacteria,Deltaproteobacteria,GAC1,SAMN08354420,PRJNA429012,bioreactor metagenome,NA,Engineered,GCA_003314535.1,Contig,3.66089,55.4,,POSG01,45,0,2018-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/314/535/GCA_003314535.1_ASM331453v1,
GCA_001769395.1,Bacteroidetes bacterium RIFOXYA12_FULL_35_11,92.83,1.61,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-35-48;g__GWF2-35-48;s__GWF2-35-48 sp001769125,Bacteroidetes,Bacteroidetes,,SAMN04314396,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001769395.1,Scaffold,5.19065,34.8,,MEPE01,292,3558,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/769/395/GCA_001769395.1_ASM176939v1,
GCA_003153795.1,Ignavibacteriae bacterium,93.42,5.21,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003155495,Chlorobi,Chlorobi,fen_1292,SAMN08179795,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003153795.1,Scaffold,3.64502,42.8,,PMBK01,73,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/153/795/GCA_003153795.1_20120700_E3M,
GCA_002298915.1,Clostridium sp. UBA699,78.95,1.75,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__UBA699;s__UBA699 sp002298915,Firmicutes,Firmicutes,UBA699,SAMN06452248,PRJNA348753,Parks 2017 UBA reassembly,Comparative metagenome analyses of anode-associated microbial communities developed in Wetlands field-soil microbial fuel cells,Wetlands,GCA_002298915.1,Scaffold,2.73652,49,,DBML01,34,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/298/915/GCA_002298915.1_ASM229891v1,
GCA_000521465.1,Hungateiclostridium straminisolvens JCM 21531,95.58,0.67,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium;s__Ruminiclostridium straminisolvens,Firmicutes,Firmicutes,JCM 21531,SAMD00000544,PRJDB821,Isolate sequencing,Yuki et al. 2014,Isolate,GCA_000521465.1,Contig,3.90712,38.3,,BAVR01,195,2298,2014-01-20T20:33:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/465/GCA_000521465.1_ASM52146v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/465/GCF_000521465.1_ASM52146v1
GCA_002419385.1,Geobacter sp. UBA5735,84.19,1.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__UBA4078 sp002419385,Deltaproteobacteria,Deltaproteobacteria,UBA5735,SAMN06453308,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002419385.1,Scaffold,3.07768,57,,DIFZ01,70,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/419/385/GCA_002419385.1_ASM241938v1,
GCA_900101345.1,Desulfoluna spongiiphila,99.35,1.61,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfoluna;s__Desulfoluna spongiiphila,Deltaproteobacteria,Deltaproteobacteria,AA1,SAMN05216233,PRJEB15715,JGI Isolate sequencing,NA,Isolate,GCA_900101345.1,Scaffold,6.53511,57.2,,FMUX01,52,5144,2016-10-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/345/GCA_900101345.1_IMG-taxon_2654587882_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/101/345/GCF_900101345.1_IMG-taxon_2654587882_annotated_assembly
GCA_002469335.1,Firmicutes bacterium UBA6800,86.3,0.63,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__46-80;s__46-80 sp002382755,Firmicutes,Firmicutes,UBA6800,SAMN06451966,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002469335.1,Scaffold,2.10417,46.2,,DKFI01,173,0,2017-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/469/335/GCA_002469335.1_ASM246933v1,
GCA_900176365.1,Desulfobacterium vacuolatum DSM 3385,98.71,2.26,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacterium_A;s__Desulfobacterium_A vacuolatum,Deltaproteobacteria,Deltaproteobacteria,DSM 3385,SAMN02746065,PRJEB20333,JGI Isolate sequencing,NA,Isolate,GCA_900176365.1,Scaffold,5.0358,46.5,,FWXY01,80,3903,2017-04-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/176/365/GCA_900176365.1_IMG-taxon_2681813565_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/176/365/GCF_900176365.1_IMG-taxon_2681813565_annotated_assembly
GCA_002380735.1,Anaerolineales bacterium UBA4142,85.12,3.04,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA4142;f__UBA4142;g__UBA4142;s__UBA4142 sp002400365,Chloroflexi,Chloroflexi,UBA4142,SAMN06451471,PRJNA348753,Parks 2017 UBA reassembly,Bangladesh Surface and Ground Water Metagenomes,Subsurface,GCA_002380735.1,Scaffold,3.84056,60,,DFWE01,394,0,2017-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/380/735/GCA_002380735.1_ASM238073v1,
GCA_000243475.2,Geobacter metallireducens RCH3,99.39,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__Geobacter metallireducens,Deltaproteobacteria,Deltaproteobacteria,RCH3,SAMN02261361,PRJNA46815,JGI Isolate sequencing,NA,Isolate,GCA_000243475.2,Contig,3.7788,59.8,,AGJM01,89,3343,2012-01-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/475/GCA_000243475.2_ASM24347v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/475/GCF_000243475.1_ASM24347v2
GCA_002408685.1,Synergistaceae bacterium UBA5258,88.81,0,Bacteria;Synergistetes;Synergistia,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002316795,Synergistetes,Synergistetes,UBA5258,SAMN06451021,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002408685.1,Scaffold,1.77715,48.6,,DHTO01,111,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/408/685/GCA_002408685.1_ASM240868v1,
GCA_001829155.1,Spirochaetes bacterium GWB1_36_13,90.38,0,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__UBA6919;o__GWB1-36-13;f__GWB1-36-13;g__GWB1-36-13;s__GWB1-36-13 sp001829155,Spirochaetes,Spirochaetes,,SAMN04313962,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829155.1,Scaffold,3.04188,36.1,,MIAO01,151,2753,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/155/GCA_001829155.1_ASM182915v1,
GCA_002347465.1,Geobacter sp. UBA2265,84.6,3.23,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__UBA4078;s__UBA4078 sp002419385,Deltaproteobacteria,Deltaproteobacteria,UBA2265,SAMN06452447,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002347465.1,Scaffold,3.31035,56.6,,DDXH01,256,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/465/GCA_002347465.1_ASM234746v1,
GCA_001874525.1,Pseudodesulfovibrio hydrargyri,100,0.59,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio dechloracetivorans,Deltaproteobacteria,Deltaproteobacteria,BerOc1,SAMN04041570,PRJNA295130,Isolate sequencing,NA,Isolate,GCA_001874525.1,Scaffold,4.08158,63.8,,LKAQ01,5,3644,2016-11-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/874/525/GCA_001874525.1_ASM187452v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/874/525/GCF_001874525.1_ASM187452v1
GCA_004365595.1,Pseudodesulfovibrio indicus,99.41,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio indicus,Deltaproteobacteria,Deltaproteobacteria,DSM 101483,SAMN10362779,PRJNA500343,JGI Isolate sequencing,NA,Isolate,GCA_004365595.1,Scaffold,3.95865,63.5,,SOBK01,25,3541,2019-03-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/365/595/GCA_004365595.1_ASM436559v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/365/595/GCF_004365595.1_ASM436559v1
GCA_001804865.1,Lentisphaerae bacterium GWF2_57_35,91.39,4.08,Bacteria;PVC group;Lentisphaerae,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__LD1-PB3;f__GWF2-57-35;g__GWF2-57-35;s__GWF2-57-35 sp001804865,PVC;Lentisphaerae,PVC,,SAMN04313867,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001804865.1,Scaffold,5.05268,56.9,,MHBK01,74,3780,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/804/865/GCA_001804865.1_ASM180486v1,
GCA_002421695.1,Smithella sp. UBA6208,81.76,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp000753945,Deltaproteobacteria,Deltaproteobacteria,UBA6208,SAMN06455447,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002421695.1,Scaffold,2.67546,43,,DISO01,284,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/421/695/GCA_002421695.1_ASM242169v1,
GCA_000176915.2,Pseudodesulfovibrio aespoeensis Aspo-2,99.41,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Pseudodesulfovibrio;s__Pseudodesulfovibrio aespoeensis,Deltaproteobacteria,Deltaproteobacteria,Aspo-2,SAMN00713573,PRJNA37869,Isolate sequencing,Pederson et al. 2014,Isolate,GCA_000176915.2,Complete,3.62911,62.6,chromosome:NC_014844.1/CP002431.1,,1,3257,2011-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/915/GCA_000176915.2_ASM17691v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/915/GCF_000176915.2_ASM17691v2
GCA_002428495.1,Synergistaceae bacterium UBA6101,100,0,Bacteria;Synergistetes;Synergistia,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Syner-03;s__Syner-03 sp002428495,Synergistetes,Synergistetes,UBA6101,SAMN06455158,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002428495.1,Scaffold,2.15346,47.1,,DIWR01,31,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/428/495/GCA_002428495.1_ASM242849v1,
GCA_002304995.1,Syntrophaceae bacterium UBA1411,92.58,3.37,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__UBA8904;s__UBA8904 sp002304995,Deltaproteobacteria,Deltaproteobacteria,UBA1411,SAMN06452092,PRJNA348753,Parks 2017 UBA reassembly,Metagenomic study of the microbial genes abundance in treated palm oil mill effluent,Engineered,GCA_002304995.1,Scaffold,3.42325,57.8,,DBPV01,148,0,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/304/995/GCA_002304995.1_ASM230499v1,
GCA_000770645.1,Desulfosporosinus sp. Tol-M,93.82,5.49,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000770645,Firmicutes,Firmicutes,,SAMN02991555,PRJNA258301,Isolate sequencing,Abu Laban et al. 2015,Isolate,GCA_000770645.1,Scaffold,3.0359,44.4,,JQID01,206,2561,2014-11-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/645/GCA_000770645.1_ASM77064v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/645/GCF_000770645.1_ASM77064v1
GCA_001303465.1,Phycisphaerae bacterium SG8_4,71.59,0,Bacteria;PVC group;Planctomycetes,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__SG8-4;s__SG8-4 sp001303465,PVC;Planctomycetes,PVC,SG8_4,SAMN03994179,PRJNA270657,estuary Sediment metagenomes,Zaremba et al Nature,Sediment,GCA_001303465.1,Scaffold,4.45887,54.8,,LJTR01,479,3334,2015-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/303/465/GCA_001303465.1_ASM130346v1,
GCA_003612855.1,Ethanoligenens harbinense,97.32,0.34,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense,Firmicutes,Firmicutes,X-29,SAMN07637938,PRJNA406999,Isolate sequencing,NA,Isolate,GCA_003612855.1,Complete,3.10012,55.5,chromosome:NZ_CP025288.1/CP025288.1,,1,2851,2018-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/612/855/GCA_003612855.1_ASM361285v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/855/GCF_003612855.1_ASM361285v1
GCA_003155275.1,Actinobacteria bacterium,85.76,1.82,Bacteria;Terrabacteria group;Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__UBA1414;g__Fen731;s__Fen731 sp003155275,Actinobacteria,Actinobacteria,fen_731,SAMN08179777,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003155275.1,Scaffold,2.1795,37.8,,PMCC01,178,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/155/275/GCA_003155275.1_20120700_E3M,
GCA_002869695.1,Desulfuromonas sp.,96.02,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__BM509;s__BM509 sp002869695,Deltaproteobacteria,Deltaproteobacteria,BM509,SAMN07982689,PRJNA387015,bioreactor metagenome,NA,Engineered,GCA_002869695.1,Scaffold,3.29208,55,,PKUD01,219,3096,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/695/GCA_002869695.1_ASM286969v1,
GCA_002441385.1,Firmicutes bacterium UBA6245,89.72,1.38,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__46-80;s__46-80 sp002382755,Firmicutes,Firmicutes,UBA6245,SAMN06455983,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002441385.1,Scaffold,2.08476,46.3,,DJVX01,150,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/441/385/GCA_002441385.1_ASM244138v1,
GCA_001771415.1,candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27,88.46,0.85,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp001771585,WOR3,Other,,SAMN04314397,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001771415.1,Scaffold,1.72198,46.3,,METS01,9,1677,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/771/415/GCA_001771415.1_ASM177141v1,
GCA_002424125.1,Syntrophomonas sp. UBA5481,92.85,3.66,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105,Firmicutes,Firmicutes,UBA5481,SAMN06451600,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002424125.1,Scaffold,3.0454,46.9,,DIPT01,138,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/424/125/GCA_002424125.1_ASM242412v1,
GCA_001830835.1,Syntrophobacterales bacterium GWC2_56_13,88.71,0.2,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001830835,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313917,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001830835.1,Scaffold,2.59985,56.1,,MICJ01,119,2255,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/830/835/GCA_001830835.1_ASM183083v1,
GCA_000023645.1,Geobacter sp. M21,100,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__Geobacter_A sp000023645,Deltaproteobacteria,Deltaproteobacteria,M21,SAMN00000633,PRJNA20729,JGI Isolate sequencing,NA,Isolate,GCA_000023645.1,Complete,4.74581,60.5,chromosome:NC_012918.1/CP001661.1,,1,4080,2009-07-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/645/GCA_000023645.1_ASM2364v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/645/GCF_000023645.1_ASM2364v1
GCA_003157735.1,Myxococcales bacterium,85.25,3.87,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1137;s__Fen-1137 sp003158395,Deltaproteobacteria,Deltaproteobacteria,fen_1124,SAMN08179554,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003157735.1,Scaffold,5.20742,64.3,,PMKL01,446,0,2018-05-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/157/735/GCA_003157735.1_20120600_E2D,
GCA_001829835.1,Syntrophobacterales bacterium GWF2_56_9,74.88,0.16,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001830835,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313916,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001829835.1,Scaffold,2.01958,55.3,,MICK01,171,1569,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/829/835/GCA_001829835.1_ASM182983v1,
