user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
GCA_001798155.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp001797665	GCA_001797665.1	95.0	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp001797665	99.63	0.89	GCA_001797665.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__UBA9637;s__UBA9637 sp001797665	99.63	0.89	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__UBA9637;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	75.56	11	N/A	N/A
GCA_001800475.1	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315	GCA_001800315.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315	100.0	1.0	GCA_001800315.1	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315	100.0	1.0	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	92.7	11	N/A	N/A
GCA_002418585.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000770645	GCA_000770645.1	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000770645	99.73	0.8	GCA_000770645.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp000770645	99.73	0.8	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003132105.1, s__Desulfosporosinus sp003132105, 95.0, 83.37, 0.36; GCA_001516045.1, s__Desulfosporosinus sp001516045, 95.0, 82.28, 0.53; GCA_002413075.1, s__Desulfosporosinus sp002413075, 95.0, 79.89, 0.39; GCA_002404215.1, s__Desulfosporosinus sp002404215, 95.0, 78.97, 0.31; GCF_001707885.1, s__Desulfosporosinus sp001707885, 95.0, 78.85, 0.35; GCF_001936615.1, s__Desulfosporosinus sp001936615, 95.0, 78.82, 0.35; GCF_000224515.1, s__Desulfosporosinus sp000224515, 95.0, 78.74, 0.38; GCF_000960765.1, s__Desulfosporosinus sp000960765, 95.0, 78.03, 0.27; GCA_000961805.1, s__Desulfosporosinus sp000961805, 95.0, 78.01, 0.3; GCF_900129935.1, s__Desulfosporosinus lacus, 95.0, 77.81, 0.23; GCF_000244895.1, s__Desulfosporosinus youngiae, 95.0, 77.22, 0.2; GCA_003513495.1, s__Desulfosporosinus sp003513495, 95.0, 77.12, 0.18; GCF_000765145.1, s__Desulfosporosinus sp000765145, 95.0, 77.01, 0.14; GCF_000235605.1, s__Desulfosporosinus orientis, 95.0, 76.84, 0.11; GCF_900100785.1, s__Desulfosporosinus hippei, 95.0, 76.73, 0.15; GCF_000231385.2, s__Desulfosporosinus meridiei, 95.0, 76.66, 0.15; GCF_000255115.2, s__Desulfosporosinus acidiphilus, 95.0, 76.64, 0.11; GCF_002196705.1, s__Desulfosporosinus sp002196705, 95.0, 76.61, 0.11; GCF_001029285.1, s__Desulfosporosinus acididurans, 95.0, 76.28, 0.1	81.03	11	N/A	N/A
GCA_002418185.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__UBA5799;s__UBA5799 sp002418185	GCA_002418185.1	95.0	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__UBA5799;s__UBA5799 sp002418185	100.0	0.99	GCA_002418185.1	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__UBA5799;s__UBA5799 sp002418185	100.0	0.99	d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	92.08	11	N/A	N/A
GCA_000621505.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A cellobioparum	GCF_000621505.1	96.61	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A cellobioparum	100.0	1.0	GCF_000621505.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__Ruminiclostridium_A cellobioparum	100.0	1.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Ruminiclostridium_A;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_000350485.1, s__Ruminiclostridium_A termitidis, 96.61, 96.61, 0.83; GCF_002051585.1, s__Ruminiclostridium_A hungatei, 95.0, 79.31, 0.38; GCF_000175795.2, s__Ruminiclostridium_A papyrosolvens, 95.0, 78.08, 0.15; GCF_000244875.1, s__Ruminiclostridium_A sp000244875, 95.0, 78.05, 0.15; GCF_000022065.1, s__Ruminiclostridium_A cellulolyticum, 95.0, 78.04, 0.18; GCF_000421965.1, s__Ruminiclostridium_A papyrosolvens_A, 95.0, 77.91, 0.15; GCF_000526495.1, s__Ruminiclostridium_A josui, 95.0, 77.77, 0.13; GCF_003208175.1, s__Ruminiclostridium_A sufflavum, 95.0, 77.28, 0.14	98.67	11	N/A	N/A
GCA_002840565.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__Fen-1166 sp002840565	GCA_002840565.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__Fen-1166 sp002840565	100.0	1.0	GCA_002840565.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__Fen-1166 sp002840565	100.0	1.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Fen-1166;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003142535.1, s__Fen-1166 sp003142535, 95.0, 77.72, 0.22	98.39	11	N/A	N/A
GCA_003252395.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Spiro-10;s__Spiro-10 sp003252395	GCA_003252395.1	95.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Spiro-10;s__Spiro-10 sp003252395	100.0	1.0	GCA_003252395.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Spiro-10;s__Spiro-10 sp003252395	100.0	1.0	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Spiro-10;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003245785.1, s__Spiro-10 sp003245785, 95.0, 79.99, 0.47; GCA_003246765.1, s__Spiro-10 sp003246765, 95.0, 79.46, 0.39; GCA_001604405.1, s__Spiro-10 sp001604405, 95.0, 78.16, 0.19; GCA_001604385.1, s__Spiro-10 sp001604385, 95.0, 76.98, 0.09; GCA_003246335.1, s__Spiro-10 sp003246335, 95.0, 76.85, 0.15	86.31	11	N/A	N/A
GCA_003132645.1	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__Bog-752 sp003132645	GCA_003132645.1	95.0	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__Bog-752 sp003132645	100.0	0.98	GCA_003132645.1	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__Bog-752 sp003132645	100.0	0.98	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__UBA2241;f__UBA2241;g__Bog-752;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003157715.1, s__Bog-752 sp003157715, 95.0, 89.36, 0.64; GCA_003164655.1, s__Bog-752 sp003164655, 95.0, 83.66, 0.63	82.58	11	N/A	N/A
GCA_002348045.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__UBA2232;s__UBA2232 sp002348045	GCA_002348045.1	95.0	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__UBA2232;s__UBA2232 sp002348045	100.0	0.99	GCA_002348045.1	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__UBA2232;s__UBA2232 sp002348045	100.0	0.99	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	81.43	11	N/A	N/A
GCA_001770175.1	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp001770175	GCA_001770175.1	95.0	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp001770175	100.0	0.99	GCA_001770175.1	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp001770175	100.0	0.99	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	84.92	11	N/A	N/A
GCA_002400005.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105	GCA_002398105.1	95.0	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105	99.65	0.92	GCA_002398105.1	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__UBA4844 sp002398105	99.65	0.92	d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4844;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002424365.1, s__UBA4844 sp002424365, 95.0, 77.8, 0.25	96.11	11	N/A	N/A
GCA_002733995.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__Desulforhopalus sp002733995	GCA_002733995.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__Desulforhopalus sp002733995	100.0	1.0	GCA_002733995.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__Desulforhopalus sp002733995	100.0	1.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_000961725.1, s__Desulforhopalus sp000961725, 95.0, 76.73, 0.05; GCF_900104445.1, s__Desulforhopalus singaporensis, 95.0, 76.71, 0.05	96.21	11	N/A	N/A
GCA_002403815.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp002413075	GCA_002413075.1	95.0	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp002413075	99.29	0.86	GCA_002413075.1	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp002413075	99.29	0.86	d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003132105.1, s__Desulfosporosinus sp003132105, 95.0, 82.3, 0.53; GCA_001516045.1, s__Desulfosporosinus sp001516045, 95.0, 80.15, 0.46; GCA_000770645.1, s__Desulfosporosinus sp000770645, 95.0, 80.11, 0.37; GCA_002404215.1, s__Desulfosporosinus sp002404215, 95.0, 78.93, 0.44; GCF_001936615.1, s__Desulfosporosinus sp001936615, 95.0, 78.57, 0.38; GCF_001707885.1, s__Desulfosporosinus sp001707885, 95.0, 78.49, 0.35; GCF_000224515.1, s__Desulfosporosinus sp000224515, 95.0, 78.38, 0.35; GCA_000961805.1, s__Desulfosporosinus sp000961805, 95.0, 78.32, 0.31; GCF_000960765.1, s__Desulfosporosinus sp000960765, 95.0, 78.23, 0.31; GCF_900129935.1, s__Desulfosporosinus lacus, 95.0, 77.59, 0.25; GCF_000235605.1, s__Desulfosporosinus orientis, 95.0, 77.4, 0.14; GCA_003513495.1, s__Desulfosporosinus sp003513495, 95.0, 77.23, 0.18; GCF_000244895.1, s__Desulfosporosinus youngiae, 95.0, 77.14, 0.18; GCF_900100785.1, s__Desulfosporosinus hippei, 95.0, 77.13, 0.16; GCF_000231385.2, s__Desulfosporosinus meridiei, 95.0, 77.11, 0.15; GCF_000255115.2, s__Desulfosporosinus acidiphilus, 95.0, 77.01, 0.12; GCF_000765145.1, s__Desulfosporosinus sp000765145, 95.0, 76.93, 0.15; GCF_002196705.1, s__Desulfosporosinus sp002196705, 95.0, 76.78, 0.12; GCF_001029285.1, s__Desulfosporosinus acididurans, 95.0, 76.75, 0.1	90.5	11	N/A	N/A
GCA_001769125.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-35-48;g__GWF2-35-48;s__GWF2-35-48 sp001769125	GCA_001769125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-35-48;g__GWF2-35-48;s__GWF2-35-48 sp001769125	100.0	1.0	GCA_001769125.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GWF2-35-48;g__GWF2-35-48;s__GWF2-35-48 sp001769125	100.0	1.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	97.12	11	N/A	N/A
GCA_002328485.1	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__WCHB1-27;g__WCHB1-27;s__WCHB1-27 sp002328485	GCA_002328485.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__WCHB1-27;g__WCHB1-27;s__WCHB1-27 sp002328485	100.0	0.99	GCA_002328485.1	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__WCHB1-27;g__WCHB1-27;s__WCHB1-27 sp002328485	100.0	0.99	d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__Syntrophorhabdales;f__WCHB1-27;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	80.97	11	N/A	N/A
GCA_003154715.1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003162335	GCA_003162335.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003162335	99.21	0.85	GCA_003162335.1	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__Fen-1064 sp003162335	99.21	0.85	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA3254;g__Fen-1064;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003153075.1, s__Fen-1064 sp003153075, 95.0, 81.14, 0.57; GCA_003153955.1, s__Fen-1064 sp003153955, 95.0, 78.15, 0.26	63.08	11	N/A	N/A
GCA_001800455.1	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315	GCA_001800315.1	95.0	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315	99.96	0.99	GCA_001800315.1	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__XYA2-FULL-47-53;s__XYA2-FULL-47-53 sp001800315	99.96	0.99	d__Bacteria;p__Elusimicrobiota;c__Endomicrobia;o__Endomicrobiales;f__XYA2-FULL-47-53;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	82.72	11	N/A	N/A
GCA_001797695.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__RBG-13-49-15;s__RBG-13-49-15 sp001797695	GCA_001797695.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__RBG-13-49-15;s__RBG-13-49-15 sp001797695	100.0	0.98	GCA_001797695.1	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__RBG-13-49-15;s__RBG-13-49-15 sp001797695	100.0	0.98	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__UBA2156;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	76.59	11	N/A	N/A
GCA_003165815.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	GCA_003139775.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	99.63	0.97	GCA_003139775.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	99.63	0.97	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003141615.1, s__Smithella sp003141615, 95.0, 88.69, 0.66; GCA_002327415.1, s__Smithella sp002327415, 95.0, 82.4, 0.52; GCA_000747625.2, s__Smithella sp000747625, 95.0, 80.98, 0.46; GCA_000753945.1, s__Smithella sp000753945, 95.0, 80.76, 0.42; GCA_002840505.1, s__Smithella sp002840505, 95.0, 80.48, 0.51; GCA_002840555.1, s__Smithella sp002840555, 95.0, 79.65, 0.48; GCA_001683985.1, s__Smithella sp001683985, 95.0, 78.23, 0.31; GCA_001412345.1, s__Smithella sp001412345, 95.0, 78.02, 0.28; GCA_002441205.1, s__Smithella sp002441205, 95.0, 77.59, 0.2	72.04	11	N/A	N/A
GCA_900185645.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AK;s__Clostridium_AK sp900185645	GCA_900185645.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AK;s__Clostridium_AK sp900185645	100.0	1.0	GCA_900185645.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AK;s__Clostridium_AK sp900185645	100.0	1.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_AK;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_900205925.1, s__Clostridium_AK peptidivorans, 95.0, 89.05, 0.78	95.97	11	N/A	N/A
GCA_003155495.1	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003155495	GCA_003155495.1	95.0	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003155495	100.0	0.99	GCA_003155495.1	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__Fen-1298 sp003155495	100.0	0.99	d__Bacteria;p__Bacteroidota;c__UBA10030;o__UBA10030;f__UBA10030;g__Fen-1298;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003142575.1, s__Fen-1298 sp003142575, 95.0, 89.2, 0.72; GCA_003142475.1, s__Fen-1298 sp003142475, 95.0, 79.52, 0.29	94.46	11	N/A	N/A
GCA_002279275.1	d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__CG2-30-66-27 sp002279275	GCA_002279275.1	95.0	d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__CG2-30-66-27 sp002279275	100.0	0.98	GCA_002279275.1	d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__CG2-30-66-27 sp002279275	100.0	0.98	d__Bacteria;p__MBNT15;c__MBNT15;o__MBNT15;f__MBNT15;g__CG2-30-66-27;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_001873935.1, s__CG2-30-66-27 sp001873935, 95.0, 89.81, 0.68; GCA_001797445.1, s__CG2-30-66-27 sp001797445, 95.0, 86.52, 0.65	62.5	11	N/A	N/A
GCA_002897975.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__BMS3Abin13;s__BMS3Abin13 sp002897615	GCA_002897615.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__BMS3Abin13;s__BMS3Abin13 sp002897615	99.55	0.94	GCA_002897615.1	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__BMS3Abin13;s__BMS3Abin13 sp002897615	99.55	0.94	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	92.9	11	N/A	N/A
GCA_001184205.1	d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis	GCF_001184205.1	95.0	d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis	100.0	1.0	GCF_001184205.1	d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Desulfocarbo;s__Desulfocarbo indianensis	100.0	1.0	d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	98.23	11	N/A	N/A
GCA_001799505.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__Pelobacter_C sp001824455	GCA_001824455.1	95.0	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__Pelobacter_C sp001824455	98.33	0.71	GCA_001824455.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__Pelobacter_C sp001824455	98.33	0.71	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Pelobacteraceae;g__Pelobacter_C;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_002298925.1, s__Pelobacter_C sp002298925, 95.0, 78.79, 0.32; GCF_000015045.1, s__Pelobacter_C propionicus, 95.0, 77.77, 0.23	70.26	11	N/A	N/A
GCA_000711225.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Pelobacter_B;s__Pelobacter_B seleniigenes	GCF_000711225.1	95.0	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Pelobacter_B;s__Pelobacter_B seleniigenes	100.0	1.0	GCF_000711225.1	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__Pelobacter_B;s__Pelobacter_B seleniigenes	100.0	1.0	d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	98.33	11	N/A	N/A
GCA_003139105.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	GCA_003139775.1	95.0	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	99.92	0.94	GCA_003139775.1	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__Smithella sp003139775	99.92	0.94	d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Smithellaceae;g__Smithella;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCA_003141615.1, s__Smithella sp003141615, 95.0, 89.03, 0.63; GCA_002327415.1, s__Smithella sp002327415, 95.0, 82.92, 0.67; GCA_000753945.1, s__Smithella sp000753945, 95.0, 81.17, 0.51; GCA_000747625.2, s__Smithella sp000747625, 95.0, 81.17, 0.47; GCA_002840505.1, s__Smithella sp002840505, 95.0, 80.82, 0.48; GCA_002840555.1, s__Smithella sp002840555, 95.0, 80.04, 0.45; GCA_001412345.1, s__Smithella sp001412345, 95.0, 78.64, 0.33; GCA_001683985.1, s__Smithella sp001683985, 95.0, 78.49, 0.39; GCA_002441205.1, s__Smithella sp002441205, 95.0, 77.32, 0.23	96.57	11	N/A	N/A
